2015,06,03, Epsilon, 13, dignitas, 16, mirage, 20, 23, 0.94 
2015,05,26, Epsilon, 16, ENCORE, 12, mirage, 28, 17, 1.40 
2015,05,23, ESC, 07, Epsilon, 16, mirage, 14, 15, 0.91 
2015,05,23, ESC, 07, Epsilon, 16, inferno, 23, 12, 1.40 
2015,05,23, Epsilon, 16, ESC, 10, cobblestone, 27, 15, 1.48 
2015,05,23, Epsilon, 16, LDLCBlue, 04, train, 22, 10, 1.65 
2015,05,23, Epsilon, 16, KILLERFISH, 11, mirage, 32, 16, 1.80 
2015,05,22, ESC, 16, Epsilon, 13, cache, 25, 19, 1.30 
2015,05,22, Epsilon, 16, ESC, 11, train, 29, 15, 1.55 
2015,05,22, ESC, 16, Epsilon, 07, mirage, 08, 18, 0.47 
2015,05,21, Epsilon, 13, LDLCBlue, 16, dust2, 26, 18, 1.34 
2015,05,21, dignitas, 14, Epsilon, 16, inferno, 20, 19, 0.97 
2015,05,19, k1ck, 16, Epsilon, 07, cobblestone, 12, 20, 0.54 
2015,04,25, k1ck, 16, Atlantis, 10, cache, 28, 18, 1.49 
2015,04,04, Atlantis, 14, Reason, 16, cache, 17, 21, 0.80 
2015,04,03, Virtus.pro, 16, Atlantis, 04, inferno, 06, 19, 0.32 
2015,04,03, Virtus.pro, 16, Atlantis, 08, mirage, 09, 19, 0.53 
2015,04,03, puta, 01, Atlantis, 16, inferno, 18, 08, 1.62 
2015,04,03, Atlantis, 16, puta, 05, mirage, 20, 11, 1.49 
2015,04,03, Atlantis, 16, malefiQ, 11, dust2, 16, 17, 0.90 
2015,04,03, malefiQ, 07, Atlantis, 16, cache, 23, 12, 1.65 
2015,04,03, Atlantis, 13, puta, 16, nuke, 21, 18, 1.12 
2015,04,03, puta, 22, Atlantis, 20, mirage, 36, 26, 1.28 
2015,04,03, puta, 06, Atlantis, 16, cache, 14, 13, 1.00 
2014,08,22, LondonConspiracy, 13, OverGaming, 16, mirage, 15, 18, 0.82 
2014,08,22, OverGaming, 16, LondonConspiracy, 05, inferno, 10, 08, 0.99 
2014,08,12, OverGaming, 15, ESC, 15, mirage, 23, 25, 0.89 
2014,08,11, OverGaming, 12, Epsilon, 16, inferno, 21, 18, 1.08 
2014,08,10, ESG!, 15, OverGaming, 15, mirage, 14, 24, 0.67 
2014,08,10, OverGaming, 10, Berzerk, 16, nuke, 17, 24, 0.70 
2014,08,09, OverGaming, 06, fnatic, 16, mirage, 11, 18, 0.65 
2014,08,08, LDLC, 16, OverGaming, 12, nuke, 18, 23, 0.80 
2014,08,07, OverGaming, 12, Titan, 16, inferno, 19, 23, 0.86 
2014,08,05, OverGaming, 16, OnlineBOTS, 06, mirage, 14, 13, 0.97 
2014,08,05, Virtus.pro, 16, OverGaming, 10, mirage, 16, 21, 0.76 
2014,07,18, gBots, 06, Platinium, 16, dust2, 17, 17, 0.99 
2014,07,18, gBots, 19, FTW.PRO, 16, inferno, 27, 20, 1.23 
2014,07,18, Platinium, 16, gBots, 13, inferno, 24, 20, 1.15 
