2015,09,24, Luminosity, 16, compLexity, 01, cobblestone, 17, 04, 1.66 
2015,09,24, compLexity, 05, Luminosity, 16, dust2, 21, 14, 1.36 
2015,09,23, 3sUP, 06, Luminosity, 16, cache, 20, 10, 1.49 
2015,09,22, Trifecta, 16, Luminosity, 08, cache, 11, 22, 0.50 
2015,09,22, Luminosity, 16, Trifecta, 04, inferno, 23, 10, 1.66 
2015,09,21, Luminosity, 16, Vault, 03, dust2, 22, 08, 1.81 
2015,09,18, Conquest, 21, Luminosity, 26, cache, 34, 33, 1.02 
2015,09,18, Luminosity, 08, Conquest, 16, inferno, 19, 18, 1.11 
2015,09,18, Conquest, 06, Luminosity, 16, mirage, 22, 17, 1.26 
2015,09,18, GamesAcademy, 13, Luminosity, 16, mirage, 28, 16, 1.47 
2015,09,18, GamesAcademy, 19, Luminosity, 21, cache, 35, 31, 1.25 
2015,09,18, Luminosity, 13, GamesAcademy, 16, train, 17, 22, 0.91 
2015,09,17, Luminosity, 16, Method, 01, overpass, 14, 09, 1.24 
2015,09,17, Luminosity, 16, Method, 13, dust2, 19, 18, 0.94 
2015,09,17, Luminosity, 09, CLG, 16, mirage, 17, 18, 0.96 
2015,09,17, CLG, 08, Luminosity, 16, cache, 20, 18, 1.12 
2015,09,14, Liquid, 16, Luminosity, 11, mirage, 18, 21, 0.85 
2015,09,14, Luminosity, 05, Liquid, 16, cache, 18, 16, 1.27 
2015,09,14, Liquid, 20, Luminosity, 22, inferno, 22, 27, 0.84 
2015,09,13, Conquest, 21, Luminosity, 25, inferno, 25, 32, 0.80 
2015,09,13, Luminosity, 19, Conquest, 22, cobblestone, 28, 31, 1.05 
2015,09,13, Conquest, 14, Luminosity, 16, train, 22, 19, 1.12 
2015,09,12, Luminosity, 16, Mythic, 08, cobblestone, 12, 17, 0.70 
2015,09,12, Luminosity, 16, Mythic, 13, cache, 18, 20, 0.93 
2015,09,12, Mythic, 16, Luminosity, 08, overpass, 13, 19, 0.72 
2015,09,12, Liquid, 16, Luminosity, 07, mirage, 15, 18, 0.90 
2015,09,12, Luminosity, 08, Liquid, 16, cache, 11, 20, 0.59 
2015,09,12, Liquid, 16, Luminosity, 09, cobblestone, 12, 22, 0.55 
2015,09,12, Luminosity, 21, Liquid, 19, overpass, 29, 25, 1.09 
2015,09,10, Enemy, 08, Luminosity, 16, overpass, 24, 20, 1.21 
2015,09,10, Luminosity, 12, Enemy, 16, inferno, 23, 20, 1.17 
2015,09,10, Luminosity, 16, CLG, 04, overpass, 18, 09, 1.46 
2015,09,10, Luminosity, 14, CLG, 16, cobblestone, 27, 19, 1.30 
2015,09,10, CLG, 14, Luminosity, 16, mirage, 20, 24, 0.97 
2015,09,09, Method, 11, Luminosity, 16, train, 19, 17, 1.28 
2015,09,09, Luminosity, 16, Method, 04, dust2, 11, 13, 0.77 
2015,09,07, CLG, 16, Luminosity, 01, cobblestone, 06, 16, 0.34 
2015,09,07, Luminosity, 16, CLG, 06, mirage, 20, 11, 1.35 
2015,09,07, CLG, 16, Luminosity, 06, overpass, 10, 17, 0.64 
2015,09,07, 3sUP, 07, Luminosity, 16, inferno, 18, 16, 1.13 
2015,09,07, 3sUP, 06, Luminosity, 16, overpass, 26, 09, 1.87 
2015,09,07, Luminosity, 10, 3sUP, 16, train, 20, 22, 1.01 
2015,09,06, CLG, 16, Luminosity, 06, cache, 13, 16, 0.77 
2015,09,06, Luminosity, 16, CLG, 01, train, 18, 09, 1.54 
2015,09,06, CLG, 16, Luminosity, 03, cobblestone, 07, 17, 0.39 
2015,09,06, 3sUP, 13, Luminosity, 16, cobblestone, 23, 22, 1.06 
2015,09,06, Luminosity, 16, 3sUP, 11, cache, 21, 17, 1.19 
2015,09,06, Nexus, 08, Luminosity, 16, cache, 22, 16, 1.26 
2015,09,06, Luminosity, 16, Nexus, 05, overpass, 26, 12, 1.80 
2015,09,05, GamesAcademy, 10, Luminosity, 16, mirage, 23, 17, 1.24 
2015,09,05, Luminosity, 16, EZonTheSoul, 01, dust2, 23, 05, 2.01 
