2016,02,26, VexX, 16, Obey.Alliance, 14, train, 19, 25, 0.84 
2016,02,24, EvilNation, 10, Obey.Alliance, 16, dust2, 12, 17, 0.71 
2016,02,24, EvilNation, 13, Obey.Alliance, 16, cache, 18, 23, 0.77 
2016,02,23, Obey.Alliance, 16, TempoStorm, 07, mirage, 21, 14, 1.28 
2016,01,16, Obey.Alliance, 14, Winterfox, 16, dust2, 18, 24, 0.76 
2016,01,16, Obey.Alliance, 16, Winterfox, 12, inferno, 13, 21, 0.65 
2016,01,16, Winterfox, 16, Obey.Alliance, 09, mirage, 11, 22, 0.58 
2015,12,18, Splyce, 09, Winterfox, 16, dust2, 15, 20, 0.80 
2015,12,18, Winterfox, 16, Splyce, 12, cache, 10, 20, 0.61 
2015,12,18, Splyce, 18, Enemy, 21, mirage, 24, 27, 0.81 
2015,12,18, Enemy, 16, Splyce, 10, inferno, 13, 19, 0.70 
2015,12,16, CLG, 11, Splyce, 16, cobblestone, 14, 18, 0.75 
2015,12,16, Splyce, 16, CLG, 06, mirage, 12, 10, 1.09 
2015,12,15, AstralAuthority, 07, Splyce, 16, mirage, 18, 11, 1.26 
2015,12,15, Splyce, 16, AstralAuthority, 05, cache, 13, 12, 0.95 
2015,12,11, Tectonic, 16, Splyce, 19, mirage, 22, 21, 0.95 
2015,12,11, Tectonic, 08, Splyce, 16, cobblestone, 11, 14, 0.77 
2015,12,09, Denial, 08, Splyce, 16, cache, 20, 12, 1.20 
2015,12,09, Splyce, 16, Denial, 07, dust2, 21, 14, 1.23 
2015,12,06, CLG, 16, Splyce, 08, cobblestone, 07, 19, 0.44 
2015,12,06, CLG, 16, Splyce, 07, dust2, 12, 20, 0.62 
2015,12,06, CLG, 08, Splyce, 16, train, 13, 17, 0.71 
2015,12,06, Splyce, 16, Method, 14, mirage, 17, 19, 0.85 
2015,12,06, compLexity, 16, Splyce, 12, train, 16, 23, 0.71 
2015,12,06, Splyce, 16, CLGRed, 05, dust2, 13, 08, 1.19 
2015,12,02, AstralAuthority, 12, NexusStorm, 16, cache, 15, 21, 0.69 
2015,12,02, CLG, 14, Splyce, 16, mirage, 15, 22, 0.71 
2015,12,02, CLG, 09, Splyce, 16, dust2, 15, 18, 0.80 
2015,12,01, Splyce, 05, Denial, 16, overpass, 14, 19, 0.86 
2015,12,01, Denial, 16, Splyce, 10, cobblestone, 13, 17, 0.90 
2015,11,12, Splyce, 08, Cloud9, 16, cache, 14, 19, 0.75 
2015,11,11, Luminosity, 16, Splyce, 12, cobblestone, 08, 22, 0.46 
2015,11,11, Splyce, 11, Luminosity, 16, train, 14, 20, 0.71 
2015,11,06, compLexity, 16, Splyce, 04, inferno, 15, 16, 0.99 
2015,11,06, Splyce, 16, compLexity, 19, train, 21, 28, 0.83 
2015,11,06, compLexity, 03, Splyce, 16, dust2, 10, 13, 0.82 
2015,11,05, Splyce, 16, compLexity, 21, inferno, 14, 26, 0.65 
2015,11,04, Liquid, 14, Splyce, 16, mirage, 21, 19, 1.00 
2015,10,29, Splyce, 16, Coastless, 03, inferno, 17, 07, 1.54 
2015,10,29, Coastless, 13, Splyce, 16, mirage, 20, 16, 1.08 
2015,10,27, Splyce, 05, Conquest, 16, overpass, 05, 17, 0.35 
2015,10,27, Conquest, 16, Splyce, 13, train, 12, 23, 0.61 
2015,10,22, ex-eLevate, 16, Winterfox, 13, mirage, 13, 20, 0.67 
2015,10,22, compLexity, 16, ex-eLevate, 09, cobblestone, 19, 19, 1.04 
2015,10,21, ex-eLevate, 16, Splyce, 05, dust2, 13, 13, 0.94 
2015,10,21, ex-eLevate, 16, Splyce, 08, train, 15, 14, 0.91 
2015,10,21, ex-eLevate, 07, Splyce, 16, cobblestone, 16, 18, 0.96 
2015,10,21, Liquid, 21, ex-eLevate, 17, cobblestone, 27, 25, 1.03 
2015,10,14, ex-eLevate, 06, Cloud9, 16, dust2, 08, 19, 0.47 
2015,10,14, ex-eLevate, 16, Winterfox, 05, dust2, 15, 10, 1.16 
2015,10,06, GamesAcademy, 16, ex-eLevate, 14, cobblestone, 24, 25, 1.06 
2015,10,06, ex-eLevate, 01, GamesAcademy, 16, cache, 06, 15, 0.49 
2015,09,25, Luminosity, 16, ex-eLevate, 07, cache, 05, 20, 0.31 
2015,09,24, ex-eLevate, 16, 3sUP, 05, dust2, 08, 10, 0.75 
2015,09,20, ex-eLevate, 16, CLG, 13, mirage, 13, 19, 0.74 
2015,09,20, ex-eLevate, 09, CLG, 16, cache, 08, 22, 0.43 
2015,09,20, ex-eLevate, 16, CLG, 13, dust2, 18, 21, 0.84 
2015,09,17, Vault, 06, ex-eLevate, 16, inferno, 14, 10, 1.00 
2015,09,16, ex-eLevate, 16, Method, 04, inferno, 16, 05, 1.45 
2015,09,16, ex-eLevate, 16, Method, 13, mirage, 13, 20, 0.63 
2015,09,16, ex-eLevate, 14, Method, 16, cache, 14, 19, 0.73 
2015,08,11, Method, 26, SKDC, 20, train, 29, 36, 0.94 
2015,08,11, Method, 10, SKDC, 16, inferno, 21, 17, 1.22 
2015,08,11, SKDC, 16, Method, 11, mirage, 25, 16, 1.30 
2015,08,11, Method, 16, SKDC, 08, dust2, 08, 19, 0.47 
2015,08,11, SKDC, 05, Method, 16, cache, 09, 16, 0.58 
2015,08,09, SKDC, 16, LunatiK, 08, inferno, 24, 15, 1.50 
2015,08,09, LunatiK, 16, SKDC, 13, mirage, 22, 22, 1.11 
2015,08,09, SKDC, 16, LunatiK, 12, dust2, 19, 17, 0.99 
2015,06,09, eLevate, 16, SKDC, 09, cache, 18, 16, 1.10 
2015,06,09, SKDC, 16, eLevate, 14, dust2, 22, 24, 0.87 
2015,06,04, Liquid, 16, SKDC, 14, mirage, 13, 20, 0.69 
2015,06,04, SKDC, 09, Liquid, 16, dust2, 12, 18, 0.70 
2015,06,03, AstralAuthority, 11, SKDC, 16, train, 14, 19, 0.76 
2015,06,03, AstralAuthority, 11, SKDC, 16, mirage, 17, 19, 0.88 
2015,06,03, SKDC, 20, AstralAuthority, 22, cache, 31, 24, 1.12 
2015,05,29, SKDC, 16, ACE, 08, inferno, 13, 14, 0.99 
2015,05,29, SKDC, 16, ACE, 11, mirage, 15, 16, 0.86 
2015,05,26, SKDC, 07, TempoStorm, 16, dust2, 13, 17, 0.81 
2015,05,26, TempoStorm, 10, SKDC, 16, mirage, 19, 16, 1.06 
2015,05,26, SKDC, 04, TempoStorm, 16, cache, 06, 17, 0.40 
2015,05,19, LunatiK, 14, SKDC, 16, dust2, 17, 17, 0.92 
2015,05,19, SKDC, 16, LunatiK, 14, cache, 14, 18, 0.77 
2015,05,18, SKDC, 12, Luminosity, 16, inferno, 16, 22, 0.78 
2015,05,18, Luminosity, 10, SKDC, 16, cache, 14, 15, 0.86 
2015,05,11, Nihilum, 16, SKDC, 08, cache, 14, 19, 0.80 
2015,05,11, SKDC, 09, Nihilum, 16, dust2, 09, 19, 0.52 
2015,05,04, CLG, 16, SKDC, 11, inferno, 18, 20, 1.00 
2015,05,04, CLG, 16, SKDC, 13, dust2, 24, 21, 1.14 
2015,05,04, SKDC, 16, affNity, 14, cache, 23, 20, 1.09 
2015,05,04, SKDC, 07, affNity, 16, dust2, 15, 18, 0.87 
