2016,02,05, 0G2, 11, Astralis, 16, train, 18, 20, 0.83 
2016,02,05, Method, 04, Astralis, 16, overpass, 13, 07, 1.19 
2016,02,05, Astralis, 16, Method, 02, mirage, 11, 10, 1.00 
2016,01,23, Astralis, 12, Luminosity, 16, overpass, 21, 19, 1.16 
2016,01,23, Astralis, 08, Luminosity, 16, train, 09, 18, 0.54 
2016,01,22, Astralis, 22, mousesports, 19, mirage, 22, 28, 0.86 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 14, 16, 0.92 
2016,01,15, 00?, 13, NatusVincere, 16, mirage, 19, 22, 0.88 
2016,01,15, 00?, 16, NatusVincere, 11, overpass, 13, 17, 0.73 
2016,01,15, 00?, 04, NatusVincere, 16, dust2, 06, 17, 0.43 
2016,01,14, fnatic, 16, 00?, 07, inferno, 06, 17, 0.48 
2016,01,14, fnatic, 08, 00?, 16, mirage, 18, 11, 1.17 
2016,01,14, 00?, 10, fnatic, 16, dust2, 06, 19, 0.41 
2016,01,14, 00?, 13, EnVyUs, 16, inferno, 10, 23, 0.54 
2016,01,14, EnVyUs, 16, 00?, 14, mirage, 23, 21, 1.00 
2016,01,14, 00?, 16, ex-Titan, 14, train, 15, 21, 0.72 
2016,01,14, 00?, 16, ex-Titan, 07, dust2, 16, 10, 1.24 
2016,01,12, EnVyUs, 07, 00?, 16, cache, 17, 12, 1.18 
2016,01,12, EnVyUs, 05, 00?, 16, overpass, 20, 13, 1.44 
2016,01,11, 00?, 16, Titan, 07, dust2, 21, 12, 1.46 
2016,01,11, Titan, 21, 00?, 17, train, 20, 30, 0.66 
2016,01,11, Titan, 19, 00?, 21, overpass, 31, 25, 1.13 
2016,01,09, 00?, 19, Vexed, 17, train, 22, 22, 0.92 
2016,01,09, 00?, 16, Vexed, 03, overpass, 15, 12, 1.08 
2016,01,08, 00?, 16, PENTA, 02, cache, 16, 08, 1.42 
2016,01,08, PENTA, 05, 00?, 16, mirage, 14, 14, 0.88 
2015,12,17, 00?, 16, EnVyUs, 13, train, 25, 22, 1.22 
2015,12,17, 00?, 16, EnVyUs, 10, inferno, 25, 14, 1.47 
2015,12,13, fnatic, 16, 00?, 14, mirage, 24, 19, 1.18 
2015,12,13, fnatic, 16, 00?, 12, inferno, 15, 22, 0.68 
2015,12,11, NatusVincere, 13, 00?, 16, inferno, 20, 21, 0.98 
2015,12,11, 00?, 16, NatusVincere, 12, train, 14, 21, 0.68 
2015,12,11, CLG, 06, 00?, 16, inferno, 10, 16, 0.71 
2015,12,11, CLG, 12, 00?, 16, mirage, 19, 19, 0.97 
2015,12,07, E-frag.net, 12, 00?, 16, cache, 17, 20, 0.89 
2015,12,07, 00?, 16, E-frag.net, 06, overpass, 21, 12, 1.46 
2015,12,05, 0SK, 16, 00?, 02, cache, 05, 18, 0.23 
2015,12,05, 0SK, 16, 00?, 13, mirage, 24, 23, 1.10 
2015,12,05, 00?, 16, 0SK, 09, train, 18, 18, 0.95 
2015,12,04, fnatic, 16, 00?, 10, mirage, 18, 21, 0.89 
2015,12,04, 00?, 11, fnatic, 16, cache, 14, 22, 0.67 
2015,12,02, TSM, 10, 0G2, 16, mirage, 26, 19, 1.50 
2015,12,02, TSM, 14, 0G2, 16, inferno, 15, 19, 0.83 
2015,12,02, TSM, 19, DenDD, 16, overpass, 18, 23, 0.78 
2015,12,02, TSM, 11, DenDD, 16, inferno, 21, 21, 0.96 
2015,12,02, TSM, 16, DenDD, 09, cache, 17, 14, 1.07 
2015,12,01, TSM, 16, E-frag.net, 05, inferno, 13, 08, 1.19 
2015,12,01, E-frag.net, 09, TSM, 16, overpass, 12, 16, 0.74 
2015,12,01, TSM, 05, E-frag.net, 16, dust2, 12, 17, 0.72 
2015,11,30, TSM, 16, dignitas, 12, mirage, 26, 23, 1.23 
2015,11,30, dignitas, 19, TSM, 16, overpass, 16, 22, 0.78 
2015,11,30, TSM, 16, dignitas, 06, inferno, 16, 11, 1.25 
2015,11,28, TSM, 17, Luminosity, 21, inferno, 21, 25, 0.83 
2015,11,28, TSM, 06, Luminosity, 16, overpass, 11, 20, 0.60 
2015,11,28, TSM, 16, Luminosity, 05, mirage, 18, 14, 1.26 
2015,11,26, Virtus.pro, 13, TSM, 16, mirage, 20, 18, 1.07 
2015,11,26, Liquid, 00, TSM, 16, overpass, 10, 11, 0.89 
2015,11,23, NatusVincere, 16, TSM, 08, cobblestone, 12, 22, 0.61 
2015,11,23, TSM, 10, NatusVincere, 16, dust2, 14, 16, 0.85 
2015,11,22, TSM, 16, 0G2, 06, mirage, 23, 11, 1.68 
2015,11,22, 0G2, 07, TSM, 16, overpass, 11, 16, 0.70 
2015,11,22, TSM, 05, 0G2, 16, cache, 10, 20, 0.52 
2015,11,21, Cloud9, 05, TSM, 16, dust2, 14, 12, 1.07 
2015,11,21, Cloud9, 16, TSM, 14, cache, 14, 24, 0.69 
2015,11,21, TSM, 16, Cloud9, 11, overpass, 16, 17, 0.86 
2015,11,18, TSM, 14, fnatic, 16, inferno, 22, 24, 0.85 
2015,11,18, TSM, 11, fnatic, 16, dust2, 13, 18, 0.82 
2015,11,17, EnVyUs, 16, TSM, 12, cobblestone, 21, 19, 1.05 
2015,11,17, mousesports, 07, TSM, 16, cache, 27, 11, 1.81 
2015,11,17, HellRaisers, 04, TSM, 16, dust2, 12, 09, 0.98 
2015,11,17, TSM, 22, HellRaisers, 19, overpass, 38, 26, 1.41 
2015,11,03, TSM, 16, 0SK, 11, overpass, 15, 20, 0.80 
2015,11,03, TSM, 16, HellRaisers, 14, cache, 27, 21, 1.31 
2015,11,03, HellRaisers, 11, TSM, 16, inferno, 23, 16, 1.22 
2015,10,31, TSM, 08, NiP, 16, dust2, 09, 20, 0.47 
2015,10,31, NiP, 16, TSM, 10, train, 20, 19, 1.15 
2015,10,29, TSM, 16, 0G2, 06, dust2, 12, 09, 1.02 
2015,10,28, FlipSid3, 06, TSM, 16, cache, 19, 16, 1.15 
2015,10,24, TSM, 16, EnVyUs, 09, inferno, 14, 18, 0.74 
2015,10,24, TSM, 16, Virtus.pro, 03, overpass, 19, 10, 1.53 
2015,10,22, TSM, 20, fnatic, 22, mirage, 29, 31, 1.04 
2015,10,22, TSM, 14, GreyFace, 11, dust2, 11, 16, 0.73 
2015,10,22, GreyFace, 06, TSM, 16, overpass, 15, 12, 0.99 
2015,10,21, TSM, 05, Virtus.pro, 16, overpass, 15, 18, 0.93 
2015,10,20, TSM, 13, EnVyUs, 16, mirage, 12, 20, 0.66 
