2016,02,27, TempoStorm, 16, Selfless, 04, inferno, 16, 11, 1.18 
2016,02,26, TempoStorm, 13, 0G2, 16, dust2, 14, 17, 0.82 
2016,02,23, Obey.Alliance, 16, TempoStorm, 07, mirage, 13, 22, 0.63 
2016,02,22, Cloud9, 08, TempoStorm, 16, dust2, 10, 15, 0.68 
2016,02,22, TempoStorm, 10, Cloud9, 16, train, 15, 20, 0.85 
2016,02,22, TempoStorm, 16, Cloud9, 08, inferno, 13, 10, 1.03 
2016,02,21, OpTic, 01, TempoStorm, 16, cobblestone, 24, 06, 2.29 
2016,02,21, TempoStorm, 19, OpTic, 22, mirage, 27, 33, 0.82 
2016,02,21, TempoStorm, 16, OpTic, 10, inferno, 16, 19, 0.82 
2016,02,21, TempoStorm, 16, EchoFox, 09, cache, 22, 12, 1.39 
2016,02,21, TempoStorm, 16, EchoFox, 03, dust2, 13, 06, 1.37 
2016,02,15, Cloud9, 17, TempoStorm, 19, cache, 18, 20, 0.93 
2016,02,15, Cloud9, 14, TempoStorm, 16, mirage, 24, 20, 1.17 
2016,02,15, TempoStorm, 16, CLG, 12, cobblestone, 17, 17, 0.91 
2016,02,15, TempoStorm, 16, CLG, 06, inferno, 15, 09, 1.16 
2016,02,14, Liquid, 10, TempoStorm, 16, train, 14, 19, 0.69 
2016,02,14, TempoStorm, 14, Liquid, 16, cache, 15, 18, 0.82 
2016,02,14, TempoStorm, 16, Liquid, 13, mirage, 22, 19, 1.12 
2016,02,14, compLexity, 13, TempoStorm, 16, inferno, 24, 18, 1.28 
2016,01,25, GamesAcademy, 16, Winterfox, 10, cobblestone, 18, 20, 0.92 
2016,01,25, GamesAcademy, 12, Winterfox, 16, dust2, 16, 20, 0.92 
2016,01,25, GamesAcademy, 16, Winterfox, 04, mirage, 18, 09, 1.43 
2016,01,24, GamesAcademy, 16, Splyce, 09, dust2, 18, 13, 1.23 
2016,01,24, GamesAcademy, 16, Splyce, 12, cache, 19, 20, 0.92 
2016,01,23, GamesAcademy, 16, Torqued, 06, dust2, 13, 10, 1.07 
2016,01,23, Torqued, 16, GamesAcademy, 07, train, 17, 19, 0.96 
2016,01,23, GamesAcademy, 16, Torqued, 10, mirage, 08, 17, 0.56 
2016,01,08, GamesAcademy, 15, KeydStars, 15, dust2, 20, 15, 1.04 
2016,01,07, GamesAcademy, 16, NTN, 00, train, 17, 09, 1.64 
2016,01,07, GamesAcademy, 16, Gathers, 00, mirage, 12, 03, 1.51 
2016,01,06, GamesAcademy, 14, AlienTech, 16, cobblestone, 18, 24, 0.82 
2015,11,19, GamesAcademy, 13, Luminosity, 16, cache, 17, 22, 0.83 
2015,11,19, GamesAcademy, 07, Luminosity, 16, train, 17, 16, 1.12 
2015,11,19, Luminosity, 13, GamesAcademy, 16, dust2, 18, 18, 0.89 
2015,11,18, GamesAcademy, 16, Winterfox, 04, cobblestone, 18, 13, 1.18 
2015,11,18, GamesAcademy, 16, Winterfox, 05, mirage, 21, 06, 1.81 
2015,11,18, Cloud9, 16, GamesAcademy, 14, cache, 18, 20, 0.91 
2015,11,18, GamesAcademy, 15, Cloud9, 19, cobblestone, 16, 23, 0.76 
2015,11,18, GamesAcademy, 16, Cloud9, 14, dust2, 22, 16, 1.13 
2015,11,18, GamesAcademy, 05, Liquid, 16, cache, 08, 19, 0.42 
2015,11,17, GamesAcademy, 16, CSGL, 10, cobblestone, 15, 16, 0.95 
2015,11,17, GamesAcademy, 16, SKDC, 05, dust2, 18, 07, 1.56 
2015,11,13, GamesAcademy, 12, CLG, 16, cache, 19, 20, 0.92 
2015,11,13, CLG, 16, GamesAcademy, 14, mirage, 18, 20, 1.01 
2015,11,13, GamesAcademy, 19, CLG, 17, cobblestone, 16, 23, 0.73 
2015,11,06, GamesAcademy, 19, Denial, 17, inferno, 25, 27, 0.90 
2015,11,06, GamesAcademy, 16, Denial, 07, dust2, 16, 09, 1.20 
2015,11,06, Denial, 16, GamesAcademy, 11, cache, 21, 20, 0.97 
2015,11,03, Enemy, 12, GamesAcademy, 16, cache, 15, 18, 0.84 
2015,11,03, Enemy, 09, GamesAcademy, 16, inferno, 13, 12, 1.00 
2015,10,10, Luminosity, 16, GamesAcademy, 14, cache, 21, 21, 0.96 
2015,10,10, Luminosity, 16, GamesAcademy, 05, cobblestone, 05, 18, 0.32 
2015,10,06, GamesAcademy, 16, ex-eLevate, 14, cobblestone, 23, 23, 1.02 
2015,10,06, ex-eLevate, 01, GamesAcademy, 16, cache, 09, 09, 0.89 
2015,09,29, Splyce, 11, GamesAcademy, 16, mirage, 21, 15, 1.27 
2015,09,28, GamesAcademy, 16, Method, 13, cache, 18, 19, 0.92 
2015,09,24, GamesAcademy, 15, Splyce, 19, mirage, 16, 22, 0.78 
2015,09,23, vVv, 11, GamesAcademy, 16, mirage, 18, 14, 1.10 
2015,09,18, GamesAcademy, 11, Luminosity, 18, mirage, 14, 21, 0.69 
2015,09,18, GamesAcademy, 19, Luminosity, 21, cache, 26, 28, 0.98 
2015,09,18, Luminosity, 13, GamesAcademy, 16, train, 13, 19, 0.70 
2015,09,12, Mythic, 16, GamesAcademy, 05, mirage, 11, 18, 0.58 
2015,09,12, GamesAcademy, 08, Mythic, 16, dust2, 12, 17, 0.78 
