2016,04,19, ENCE, 04, 0SK, 16, train, 12, 16, 0.78 
2016,04,19, 0SK, 14, ENCE, 16, cache, 22, 21, 1.13 
2016,04,19, E-frag.net, 16, ENCE, 13, dust2, 21, 20, 1.02 
2016,04,19, ENCE, 16, E-frag.net, 12, inferno, 20, 17, 1.00 
2016,04,19, E-frag.net, 16, ENCE, 14, mirage, 21, 19, 1.04 
2016,04,13, E-frag.net, 16, ENCE, 19, train, 31, 26, 1.18 
2016,04,13, E-frag.net, 12, ENCE, 16, cache, 23, 18, 1.21 
2016,04,13, E-frag.net, 16, ENCE, 02, inferno, 09, 18, 0.51 
2016,04,08, AlterYourEgo, 06, ENCE, 16, cobblestone, 23, 11, 1.57 
2016,04,08, AlterYourEgo, 02, ENCE, 16, cache, 17, 04, 1.58 
2016,03,25, Plantronics, 16, ENCE, 07, dust2, 16, 16, 0.96 
2016,03,25, ENCE, 13, Publiclir.se, 16, mirage, 32, 22, 1.38 
2016,03,22, AGG, 19, ENCE, 17, dust2, 20, 27, 0.80 
2016,03,22, ENCE, 07, AGG, 16, overpass, 08, 16, 0.54 
2016,03,21, AGG, 16, ENCE, 06, overpass, 09, 19, 0.51 
2016,03,21, ENCE, 10, AGG, 16, dust2, 15, 21, 0.75 
2016,03,20, Ancient, 16, ENCE, 10, mirage, 20, 18, 1.01 
2016,03,20, ENCE, 11, Ancient, 16, cobblestone, 22, 18, 1.17 
2016,03,19, ENCE, 16, Arcade, 08, cache, 12, 13, 0.89 
2016,03,14, Method, 02, ENCE, 16, dust2, 20, 13, 1.51 
2016,03,14, ENCE, 16, Method, 13, mirage, 19, 18, 0.98 
2016,03,14, ENCE, 11, FlipSid3, 16, cobblestone, 24, 22, 1.13 
2016,03,14, FlipSid3, 16, ENCE, 10, mirage, 20, 18, 1.05 
2016,03,12, ENCE, 10, TDJSF, 16, dust2, 18, 20, 0.97 
2016,03,08, ENCE, 16, PENTA, 12, inferno, 21, 20, 1.11 
2016,03,08, PENTA, 14, ENCE, 16, overpass, 19, 20, 0.94 
2016,02,27, ENCE, 14, Ancient, 16, train, 12, 23, 0.56 
2016,02,27, ENCE, 17, Preparation, 19, mirage, 35, 23, 1.32 
2016,02,27, ENCE, 16, ALAMIX, 02, dust2, 18, 10, 1.58 
2016,02,25, ENCE, 16, CPHWolves, 12, inferno, 18, 20, 1.04 
2016,02,25, CPHWolves, 10, ENCE, 16, dust2, 20, 17, 1.15 
2016,02,24, ENCE, 19, ALTERNATEaTTaX, 17, train, 27, 21, 1.11 
2016,02,24, ENCE, 16, ALTERNATEaTTaX, 14, dust2, 16, 18, 0.85 
2016,02,23, Vexed, 14, ENCE, 16, mirage, 25, 21, 1.23 
2016,02,23, Vexed, 18, ENCE, 22, inferno, 33, 32, 1.06 
2016,02,14, ENCE, 14, 0CG, 16, train, 16, 21, 0.79 
2016,02,14, 0CG, 16, ENCE, 14, dust2, 21, 24, 0.84 
2016,02,14, ENCE, 16, 0CG, 08, cache, 24, 13, 1.57 
2016,02,06, LDLCWhite, 16, ENCE, 07, cache, 17, 17, 1.01 
2016,02,06, LDLCWhite, 16, ENCE, 10, dust2, 13, 22, 0.61 
2016,02,06, CPHWolves, 04, ENCE, 16, cobblestone, 22, 10, 1.82 
2016,02,06, CPHWolves, 07, ENCE, 16, dust2, 23, 11, 1.51 
2016,02,05, 0SK, 16, ENCE, 06, mirage, 10, 18, 0.61 
2016,02,05, ENCE, 02, 0SK, 16, train, 06, 16, 0.37 
2016,02,05, ENCE, 16, LDLCWhite, 14, cobblestone, 30, 19, 1.37 
2016,02,05, Millenium, 12, ENCE, 16, dust2, 27, 17, 1.56 
2015,12,17, Liquid, 05, Dogmen, 16, cache, 11, 19, 0.71 
2015,12,17, Liquid, 08, Dogmen, 16, dust2, 14, 17, 0.87 
2015,12,06, NiP, 12, fnatic, 16, mirage, 24, 20, 1.26 
2015,12,06, NiP, 09, fnatic, 16, train, 11, 21, 0.52 
2015,12,06, fnatic, 09, NiP, 16, dust2, 21, 14, 1.29 
2015,12,05, NiP, 16, fnatic, 12, cobblestone, 19, 14, 1.14 
2015,12,05, NiP, 14, fnatic, 16, inferno, 24, 25, 1.09 
2015,12,05, fnatic, 06, NiP, 16, cache, 18, 09, 1.40 
2015,12,04, 0SK, 06, NiP, 16, mirage, 14, 09, 1.17 
2015,12,04, NiP, 16, 0SK, 02, cache, 17, 09, 1.42 
2015,11,27, NiP, 06, Luminosity, 16, cobblestone, 17, 19, 0.94 
2015,11,27, NiP, 21, Luminosity, 19, cache, 30, 26, 1.13 
2015,11,27, Luminosity, 16, NiP, 10, mirage, 25, 19, 1.42 
2015,11,26, NiP, 04, fnatic, 16, dust2, 13, 16, 0.74 
2015,11,26, NiP, 16, EnVyUs, 08, mirage, 20, 12, 1.30 
2015,11,17, Titan, 03, NiP, 16, mirage, 14, 11, 1.23 
2015,11,17, NiP, 16, Virtus.pro, 13, overpass, 21, 22, 0.90 
2015,11,15, NiP, 16, Titan, 06, train, 21, 13, 1.37 
2015,11,15, NiP, 14, Virtus.pro, 16, cobblestone, 18, 21, 0.82 
2015,11,13, NiP, 16, fnatic, 07, train, 19, 14, 1.16 
2015,11,13, NiP, 16, Virtus.pro, 14, mirage, 21, 22, 0.96 
2015,11,11, NiP, 08, mousesports, 16, mirage, 11, 20, 0.64 
2015,11,10, 0SK, 16, NiP, 12, mirage, 16, 23, 0.75 
2015,11,04, NiP, 16, PENTA, 07, cache, 28, 09, 2.17 
2015,11,04, NiP, 12, HellRaisers, 16, overpass, 08, 23, 0.41 
2015,11,03, EnVyUs, 09, NiP, 16, cobblestone, 13, 19, 0.68 
2015,11,03, dignitas, 04, NiP, 16, train, 20, 13, 1.35 
2015,11,01, NatusVincere, 16, NiP, 06, dust2, 10, 19, 0.57 
2015,11,01, NiP, 03, NatusVincere, 16, train, 13, 16, 1.10 
2015,10,31, TSM, 08, NiP, 16, dust2, 17, 11, 1.13 
