2015,12,15, FlipSid3, 13, Vexed, 16, inferno, 17, 23, 0.74 
2015,12,14, FlipSid3, 16, Arcade, 10, mirage, 15, 13, 0.93 
2015,12,14, Arcade, 12, FlipSid3, 16, train, 14, 21, 0.68 
2015,12,14, Arcade, 16, FlipSid3, 12, cache, 18, 22, 0.88 
2015,12,11, FlipSid3, 16, 0YP, 07, mirage, 14, 13, 0.99 
2015,12,11, FlipSid3, 16, 0YP, 06, overpass, 14, 12, 0.98 
2015,12,11, 0YP, 16, FlipSid3, 08, cache, 10, 20, 0.51 
2015,12,11, FlipSid3, 16, SpaceSoldiers, 11, mirage, 18, 16, 1.00 
2015,12,11, SpaceSoldiers, 06, FlipSid3, 16, train, 13, 12, 0.94 
2015,12,11, FlipSid3, 02, SpaceSoldiers, 16, cobblestone, 05, 17, 0.28 
2015,12,10, eSuba, 12, FlipSid3, 16, inferno, 20, 19, 1.00 
2015,12,10, Reason, 06, FlipSid3, 16, mirage, 12, 15, 0.82 
2015,12,08, FlipSid3, 16, Rebels, 04, overpass, 17, 08, 1.37 
2015,12,08, Rebels, 16, FlipSid3, 09, mirage, 14, 20, 0.77 
2015,12,08, FlipSid3, 16, Rebels, 04, train, 17, 10, 1.23 
2015,12,06, FlipSid3, 16, Rebels, 14, mirage, 15, 22, 0.69 
2015,12,06, FlipSid3, 16, Rebels, 06, train, 16, 13, 1.15 
2015,12,06, FlipSid3, 14, CSGO.one, 16, mirage, 16, 22, 0.74 
2015,12,06, CSGO.one, 13, FlipSid3, 16, train, 14, 17, 0.82 
2015,12,06, CSGO.one, 19, FlipSid3, 16, cobblestone, 24, 23, 0.97 
2015,12,02, HS.GG, 06, FlipSid3, 16, inferno, 19, 11, 1.34 
2015,12,02, HS.GG, 13, FlipSid3, 16, cobblestone, 21, 15, 1.16 
2015,12,02, FlipSid3, 07, HS.GG, 16, mirage, 13, 19, 0.77 
2015,11,19, E-frag.net, 09, FlipSid3, 16, overpass, 20, 17, 1.09 
2015,11,19, E-frag.net, 11, FlipSid3, 16, cache, 15, 19, 0.81 
2015,11,19, E-frag.net, 04, FlipSid3, 16, train, 10, 16, 0.64 
2015,11,18, Virtus.pro, 16, FlipSid3, 06, train, 11, 19, 0.61 
2015,11,18, Virtus.pro, 16, FlipSid3, 14, mirage, 22, 21, 1.01 
2015,11,16, FlipSid3, 22, EnVyUs, 18, cobblestone, 24, 26, 0.92 
2015,11,16, EnVyUs, 13, FlipSid3, 16, mirage, 26, 20, 1.18 
2015,11,16, FlipSid3, 10, EnVyUs, 16, inferno, 12, 21, 0.61 
2015,11,12, FlipSid3, 12, 0SK, 16, inferno, 11, 21, 0.57 
2015,11,12, 0SK, 16, FlipSid3, 13, train, 25, 21, 1.33 
2015,11,12, FlipSid3, 16, 0SK, 07, mirage, 11, 15, 0.76 
2015,11,11, FlipSid3, 28, 0SK, 24, overpass, 29, 38, 0.75 
2015,11,11, 0SK, 16, FlipSid3, 13, mirage, 20, 20, 0.97 
2015,11,11, FlipSid3, 16, 0SK, 13, train, 25, 21, 1.19 
2015,10,29, FlipSid3, 08, mousesports, 16, overpass, 08, 21, 0.40 
2015,10,28, FlipSid3, 06, TSM, 16, cache, 15, 19, 0.79 
2015,10,23, FlipSid3, 16, CSGL, 11, train, 08, 23, 0.39 
2015,10,23, FlipSid3, 14, CSGL, 16, mirage, 12, 23, 0.58 
2015,10,23, FlipSid3, 16, CSGL, 06, cache, 16, 12, 1.08 
2015,10,21, dignitas, 19, FlipSid3, 17, mirage, 22, 26, 0.82 
2015,10,21, dignitas, 16, FlipSid3, 07, inferno, 07, 18, 0.43 
2015,10,18, FlipSid3, 16, CSGL, 10, cobblestone, 15, 15, 0.92 
2015,10,18, CSGL, 11, FlipSid3, 16, overpass, 22, 20, 1.00 
2015,10,18, Reason, 13, FlipSid3, 16, overpass, 19, 21, 0.91 
2015,10,18, FlipSid3, 16, Reason, 13, cobblestone, 22, 20, 1.13 
2015,10,15, CSGL, 16, FlipSid3, 13, train, 13, 22, 0.63 
2015,10,15, FlipSid3, 05, CSGL, 16, cobblestone, 10, 17, 0.75 
2015,10,15, FlipSid3, 06, dignitas, 16, mirage, 10, 20, 0.51 
2015,10,15, dignitas, 16, FlipSid3, 06, overpass, 09, 20, 0.42 
2015,10,15, dignitas, 12, FlipSid3, 16, inferno, 13, 21, 0.65 
2015,10,14, CSGL, 05, FlipSid3, 16, mirage, 14, 15, 0.93 
2015,10,14, FlipSid3, 16, CSGL, 05, train, 18, 10, 1.34 
2015,10,14, FlipSid3, 21, CSGL, 25, overpass, 30, 37, 0.87 
2015,10,12, FlipSid3, 19, volgare, 16, cache, 25, 26, 1.06 
2015,10,12, FlipSid3, 16, volgare, 04, inferno, 21, 10, 1.63 
2015,10,06, HellRaisers, 16, FlipSid3, 07, cobblestone, 07, 17, 0.52 
2015,10,06, FlipSid3, 13, HellRaisers, 16, cache, 23, 20, 1.10 
2015,10,05, FlipSid3, 16, E-frag.net, 13, overpass, 13, 24, 0.58 
2015,10,05, E-frag.net, 14, FlipSid3, 16, train, 24, 22, 1.04 
2015,10,04, MaxAndRelax, 12, FlipSid3, 16, mirage, 21, 21, 1.00 
2015,10,04, MaxAndRelax, 03, FlipSid3, 16, train, 17, 10, 1.44 
2015,10,04, FlipSid3, 16, Torpedo, 05, inferno, 21, 12, 1.52 
2015,10,04, Torpedo, 10, FlipSid3, 16, dust2, 19, 18, 1.08 
2015,10,04, Torpedo, 16, FlipSid3, 13, train, 22, 24, 0.89 
2015,09,30, FlipSid3, 16, CSGL, 13, cache, 12, 23, 0.59 
2015,09,30, FlipSid3, 16, CSGL, 11, train, 19, 16, 1.07 
2015,09,29, FlipSid3, 02, mousesports, 16, cache, 09, 15, 0.62 
2015,09,29, mousesports, 16, FlipSid3, 13, inferno, 13, 24, 0.58 
2015,09,26, FlipSid3, 16, CPHWolves, 13, overpass, 16, 22, 0.76 
2015,09,26, FlipSid3, 16, CPHWolves, 10, mirage, 21, 13, 1.19 
2015,09,23, FlipSid3, 12, CLG, 16, train, 22, 21, 1.15 
2015,09,23, FlipSid3, 14, CLG, 16, cache, 12, 22, 0.63 
2015,09,23, FlipSid3, 16, CPHWolves, 12, mirage, 19, 19, 1.02 
2015,09,23, CPHWolves, 04, FlipSid3, 14, train, 21, 07, 1.80 
2015,09,20, FlipSid3, 16, Property, 07, overpass, 09, 12, 0.74 
2015,09,20, Property, 17, FlipSid3, 19, inferno, 19, 22, 0.86 
2015,09,20, Orbit, 16, FlipSid3, 13, cobblestone, 20, 20, 0.97 
2015,09,20, Orbit, 13, FlipSid3, 16, mirage, 18, 18, 0.95 
2015,09,15, Titan, 16, FlipSid3, 08, inferno, 11, 22, 0.62 
2015,09,15, FlipSid3, 09, Titan, 16, train, 19, 21, 0.88 
2015,09,10, FlipSid3, 16, PENTA, 07, inferno, 14, 13, 1.04 
2015,09,10, PENTA, 10, FlipSid3, 16, mirage, 15, 21, 0.71 
2015,09,09, 0SK, 10, FlipSid3, 16, inferno, 14, 14, 0.92 
2015,09,09, 0SK, 10, FlipSid3, 16, overpass, 15, 17, 0.85 
2015,09,03, Kinguin, 16, FlipSid3, 05, train, 03, 18, 0.24 
2015,09,03, FlipSid3, 08, Kinguin, 16, mirage, 15, 20, 0.78 
2015,09,03, Kinguin, 19, FlipSid3, 21, cache, 33, 28, 1.21 
2015,08,26, dignitas, 16, FlipSid3, 11, train, 15, 20, 0.80 
2015,08,26, FlipSid3, 08, dignitas, 16, mirage, 14, 21, 0.73 
2015,08,26, FlipSid3, 16, dignitas, 06, inferno, 21, 16, 1.26 
2015,08,26, dignitas, 16, FlipSid3, 05, mirage, 05, 17, 0.38 
2015,08,26, FlipSid3, 19, Property, 16, inferno, 30, 19, 1.32 
2015,08,26, FlipSid3, 16, Property, 14, mirage, 22, 21, 0.99 
2015,08,25, Kinguin, 06, FlipSid3, 16, mirage, 11, 12, 0.87 
2015,08,25, FlipSid3, 16, Kinguin, 14, train, 16, 22, 0.80 
2015,08,25, FlipSid3, 16, E-frag.net, 07, inferno, 13, 16, 0.80 
