2015,12,05, CLG, 16, 3sUP, 01, train, 11, 08, 1.11 
2015,12,02, CLG, 14, Splyce, 16, mirage, 14, 21, 0.67 
2015,12,02, CLG, 09, Splyce, 16, dust2, 10, 18, 0.63 
2015,12,01, CLG, 16, compLexity, 12, train, 19, 18, 0.94 
2015,12,01, CLG, 07, compLexity, 16, cache, 09, 18, 0.58 
2015,12,01, compLexity, 09, CLG, 16, cobblestone, 22, 13, 1.45 
2015,11,21, 0G2, 16, CLG, 07, cache, 15, 16, 0.97 
2015,11,21, 0G2, 19, CLG, 17, mirage, 25, 20, 1.01 
2015,11,20, CLG, 13, Conquest, 16, inferno, 19, 19, 0.95 
2015,11,20, CLG, 16, Winterfox, 13, cobblestone, 15, 18, 0.90 
2015,11,17, CLG, 16, Nexus, 07, mirage, 17, 11, 1.14 
2015,11,16, CLG, 07, Enemy, 16, cache, 15, 20, 0.80 
2015,11,16, CLG, 11, Renegades, 16, cobblestone, 10, 20, 0.54 
2015,11,15, CLG, 12, Liquid, 16, cobblestone, 18, 23, 0.81 
2015,11,15, CLG, 07, Liquid, 16, overpass, 17, 19, 0.96 
2015,11,14, CLG, 16, Renegades, 10, train, 21, 14, 1.16 
2015,11,14, CLG, 16, Winterfox, 02, mirage, 21, 09, 1.54 
2015,11,14, CLG, 10, Renegades, 16, dust2, 17, 22, 0.76 
2015,11,13, GamesAcademy, 12, CLG, 16, cache, 18, 16, 1.01 
2015,11,13, CLG, 16, GamesAcademy, 14, mirage, 14, 20, 0.72 
2015,11,13, GamesAcademy, 19, CLG, 17, cobblestone, 22, 28, 0.85 
2015,11,12, CLG, 13, Conquest, 16, overpass, 16, 22, 0.84 
2015,11,12, Conquest, 16, CLG, 03, mirage, 12, 15, 0.91 
2015,11,12, Conquest, 12, CLG, 16, dust2, 25, 18, 1.39 
2015,11,11, CLG, 10, Luminosity, 16, cobblestone, 25, 18, 1.30 
2015,11,11, CLG, 13, 3sUP, 16, cobblestone, 14, 24, 0.60 
2015,11,10, CLG, 16, Enemy, 03, train, 16, 09, 1.41 
2015,11,10, Enemy, 10, CLG, 16, overpass, 17, 17, 1.01 
2015,11,06, compLexity, 16, CLG, 03, train, 07, 16, 0.47 
2015,11,06, CLG, 16, SKDC, 11, dust2, 15, 14, 0.99 
2015,11,06, CLG, 16, Cloud9, 12, cache, 20, 18, 1.01 
2015,11,05, Luminosity, 16, CLG, 04, cache, 07, 17, 0.44 
2015,11,05, CLG, 16, Enemy, 06, dust2, 22, 11, 1.48 
2015,11,04, CLG, 16, Liquid, 12, inferno, 19, 16, 0.98 
2015,10,30, NatusVincere, 16, CLG, 08, inferno, 19, 21, 0.93 
2015,10,30, CLG, 16, NatusVincere, 10, cobblestone, 13, 17, 0.72 
2015,10,30, NatusVincere, 16, CLG, 09, train, 10, 18, 0.66 
2015,10,29, dignitas, 14, CLG, 16, cobblestone, 29, 19, 1.36 
2015,10,28, NatusVincere, 16, CLG, 12, cobblestone, 18, 20, 0.85 
2015,10,25, CLG, 11, Liquid, 16, train, 13, 21, 0.67 
2015,10,25, Cloud9, 11, CLG, 16, mirage, 13, 20, 0.70 
2015,10,23, CLG, 06, compLexity, 16, cache, 12, 18, 0.71 
2015,10,23, CLG, 11, compLexity, 16, cobblestone, 16, 23, 0.72 
2015,10,23, compLexity, 11, CLG, 16, train, 21, 16, 1.30 
2015,10,20, CLG, 16, Splyce, 14, mirage, 19, 18, 1.05 
2015,10,16, Liquid, 16, CLG, 11, cache, 10, 20, 0.56 
2015,10,16, CLG, 13, Liquid, 16, cobblestone, 24, 18, 1.24 
2015,10,16, Winterfox, 04, CLG, 16, overpass, 15, 11, 1.20 
2015,10,16, 3sUP, 16, CLG, 13, overpass, 22, 22, 0.99 
2015,10,15, Splyce, 03, CLG, 16, train, 19, 10, 1.44 
2015,10,15, CLG, 16, Splyce, 01, cobblestone, 15, 08, 1.34 
2015,10,14, CLG, 16, Method, 11, cache, 20, 18, 1.08 
2015,10,10, Sweden, 16, Canada, 11, cobblestone, 06, 21, 0.37 
2015,10,10, Canada, 17, Sweden, 19, inferno, 20, 22, 0.89 
2015,10,09, Norway, 10, Canada, 16, dust2, 17, 17, 0.98 
2015,10,09, Belgium, 09, Canada, 16, train, 19, 19, 1.02 
2015,10,06, Winterfox, 05, CLG, 16, train, 24, 14, 1.61 
2015,10,06, CLG, 21, Winterfox, 25, cobblestone, 38, 33, 1.15 
2015,10,01, CLG, 16, Method, 09, mirage, 17, 18, 0.89 
2015,10,01, Method, 14, CLG, 16, cache, 24, 20, 1.17 
2015,10,01, CLG, 16, 3sUP, 01, cache, 10, 04, 1.18 
2015,10,01, 3sUP, 08, CLG, 16, cobblestone, 15, 17, 0.86 
2015,09,30, CLG, 14, Leader-1, 16, mirage, 19, 19, 1.04 
2015,09,30, CLG, 16, ACE, 06, cobblestone, 16, 15, 1.05 
2015,09,29, CLG, 16, Enemy, 06, overpass, 16, 13, 1.05 
2015,09,29, Enemy, 03, CLG, 16, train, 18, 06, 1.66 
2015,09,23, FlipSid3, 12, CLG, 16, train, 20, 20, 0.93 
2015,09,23, FlipSid3, 14, CLG, 16, cache, 13, 20, 0.65 
2015,09,23, CSGL, 10, CLG, 16, mirage, 12, 12, 0.91 
2015,09,23, CSGL, 11, CLG, 16, overpass, 22, 21, 1.08 
2015,09,23, CLG, 17, CSGL, 19, dust2, 24, 26, 0.99 
2015,09,20, ex-eLevate, 16, CLG, 13, mirage, 14, 22, 0.64 
2015,09,20, ex-eLevate, 09, CLG, 16, cache, 22, 16, 1.42 
2015,09,20, ex-eLevate, 16, CLG, 13, dust2, 19, 20, 0.90 
2015,09,20, CLG, 16, Splyce, 09, train, 15, 18, 0.89 
2015,09,20, CLG, 16, Splyce, 02, mirage, 15, 08, 1.34 
2015,09,18, CLG, 16, Coast, 01, overpass, 13, 04, 1.43 
2015,09,18, CLG, 16, Enemy, 05, mirage, 14, 14, 0.94 
2015,09,17, CLG, 16, Conquest, 11, cobblestone, 18, 19, 0.95 
2015,09,17, Luminosity, 09, CLG, 16, mirage, 18, 20, 0.88 
2015,09,17, CLG, 08, Luminosity, 16, cache, 11, 23, 0.49 
2015,09,16, CLG, 16, Method, 06, inferno, 17, 15, 1.09 
2015,09,16, compLexity, 16, CLG, 10, overpass, 14, 21, 0.67 
2015,09,14, Conquest, 16, CLG, 14, mirage, 26, 22, 1.08 
2015,09,14, CLG, 13, Conquest, 16, cobblestone, 17, 23, 0.82 
2015,09,14, Conquest, 13, CLG, 16, train, 16, 21, 0.75 
2015,09,13, CLG, 14, Liquid, 16, overpass, 19, 19, 0.91 
2015,09,13, Liquid, 16, CLG, 06, cobblestone, 05, 21, 0.23 
2015,09,13, CLG, 16, compLexity, 05, cache, 20, 08, 1.55 
2015,09,13, CLG, 16, compLexity, 11, cobblestone, 18, 17, 0.95 
2015,09,11, CLG, 13, Liquid, 16, overpass, 21, 20, 1.00 
2015,09,11, Liquid, 11, CLG, 16, train, 14, 18, 0.77 
2015,09,11, CLG, 14, Liquid, 16, mirage, 27, 22, 1.20 
2015,09,11, CLG, 04, Liquid, 16, dust2, 11, 17, 0.84 
2015,09,11, CLG, 16, Liquid, 14, cache, 18, 17, 1.01 
2015,09,10, Luminosity, 16, CLG, 04, overpass, 08, 19, 0.40 
2015,09,10, Luminosity, 14, CLG, 16, cobblestone, 20, 25, 0.83 
2015,09,10, CLG, 14, Luminosity, 16, mirage, 19, 20, 0.84 
2015,09,09, CLG, 16, Liquid, 14, overpass, 23, 18, 1.06 
2015,09,09, Liquid, 04, CLG, 16, cobblestone, 17, 08, 1.34 
2015,09,09, CLG, 16, Mortality, 10, cobblestone, 16, 16, 0.89 
2015,09,09, CLG, 12, Mortality, 16, dust2, 20, 21, 1.13 
2015,09,07, CLG, 16, Luminosity, 01, cobblestone, 13, 10, 1.04 
2015,09,07, Luminosity, 16, CLG, 06, mirage, 03, 20, 0.19 
2015,09,07, CLG, 16, Luminosity, 06, overpass, 18, 13, 1.25 
2015,09,06, CLG, 16, Luminosity, 06, cache, 19, 09, 1.49 
2015,09,06, Luminosity, 16, CLG, 01, train, 07, 15, 0.47 
2015,09,06, CLG, 16, Luminosity, 03, cobblestone, 13, 09, 1.15 
2015,09,06, GamesAcademy, 08, CLG, 16, train, 23, 16, 1.34 
