2015,03,07, AliGon, 07, dignitas, 16, dust2, 09, 18, 0.50 
2015,01,11, AliGon, 06, volgare, 16, inferno, 06, 19, 0.37 
2015,01,11, unu.AiN, 16, AliGon, 05, nuke, 19, 15, 1.27 
2014,12,18, HellRaisers, 16, AliGon, 11, nuke, 25, 21, 1.23 
2014,12,18, HellRaisers, 05, AliGon, 16, cache, 14, 14, 0.88 
2014,12,18, HellRaisers, 16, AliGon, 08, inferno, 14, 18, 0.76 
2014,10,21, AliGon, 07, LDLC, 16, cache, 13, 18, 0.70 
2014,10,21, LDLC, 16, AliGon, 09, inferno, 20, 18, 1.01 
2014,10,19, 0uN, 04, AliGon, 16, cache, 13, 13, 0.94 
2014,09,28, PENTA, 16, AliGon, 08, dust2, 18, 18, 0.98 
2014,09,24, HellRaisers, 13, Property, 16, mirage, 04, 08, 0.71 
2014,08,10, AliGon, 13, MTW, 16, mirage, 18, 19, 0.90 
2014,07,16, ESG!, 06, AliGon, 16, dust2, 18, 13, 1.23 
2014,07,16, AliGon, 16, ESG!, 06, inferno, 13, 12, 0.94 
2014,07,16, ESG!, 16, AliGon, 12, mirage, 20, 19, 1.02 
2014,06,22, NiP, 19, AliGon, 17, cache, 38, 25, 1.41 
2014,06,22, NiP, 16, AliGon, 11, dust2, 20, 21, 0.95 
2014,06,22, AliGon, 16, OverGaming, 12, cache, 20, 17, 1.06 
2014,06,22, OverGaming, 06, AliGon, 16, inferno, 23, 09, 1.51 
2014,06,22, OverGaming, 16, AliGon, 11, mirage, 23, 23, 1.07 
2014,06,16, Lemondogs, 12, Epsilon, 16, inferno, 26, 19, 1.33 
2014,06,16, Epsilon, 16, Lemondogs, 07, dust2, 11, 20, 0.58 
2014,06,15, Lemondogs, 16, FlipSid3, 01, dust2, 20, 06, 2.02 
2014,06,15, Lemondogs, 19, Expert, 17, mirage, 22, 26, 0.88 
2014,05,30, Reason, 13, AliGon, 16, train, 23, 18, 1.13 
2014,05,30, AliGon, 16, ALTERNATEaTTaX, 07, mirage, 21, 13, 1.27 
2014,05,30, LondonConspiracy, 07, AliGon, 16, mirage, 25, 16, 1.46 
2014,04,18, Publiclir.se, 09, fnatic, 16, mirage, 15, 17, 0.97 
2014,04,18, Publiclir.se, 11, fnatic, 16, train, 22, 21, 1.03 
2014,04,18, Publiclir.se, 16, Menace, 11, inferno, 23, 16, 1.30 
2014,04,18, Publiclir.se, 03, Menace, 16, dust2, 06, 18, 0.34 
2014,04,18, Publiclir.se, 16, Menace, 14, mirage, 24, 20, 1.15 
2014,03,26, Property, 24, LGB, 26, mirage, 28, 37, 0.81 
2014,03,20, Property, 09, NatusVincere, 16, mirage, 20, 17, 1.09 
2014,03,11, Property, 12, mousesports, 16, train, 15, 21, 0.73 
2014,03,11, Titan, 16, Property, 13, dust2, 14, 22, 0.68 
2013,12,14, 0SK, 16, AliGon, 06, train, 14, 18, 0.79 
2013,12,14, 0SK, 16, AliGon, 09, nuke, 19, 18, 1.01 
2013,12,14, AliGon, 16, 0SK, 14, inferno, 22, 22, 1.00 
2013,12,14, AliGon, 05, LGB, 16, dust2, 13, 18, 0.83 
2013,12,14, AliGon, 03, LGB, 16, inferno, 07, 16, 0.50 
