2016,04,11, OpTic, 16, WithoutaRoof, 08, cobblestone, 11, 12, 0.84 
2016,04,08, OpTic, 12, Liquid, 16, train, 12, 20, 0.61 
2016,04,08, Liquid, 16, OpTic, 10, cobblestone, 19, 18, 1.00 
2016,03,23, Selfless, 16, OpTic, 14, mirage, 23, 20, 1.14 
2016,03,23, OpTic, 10, Selfless, 16, inferno, 16, 19, 0.80 
2016,03,20, Cloud9, 19, OpTic, 17, mirage, 23, 27, 0.83 
2016,03,20, Cloud9, 16, OpTic, 03, cache, 13, 16, 0.91 
2016,03,16, OpTic, 06, Winterfox, 16, mirage, 08, 17, 0.54 
2016,03,16, Winterfox, 05, OpTic, 16, inferno, 16, 08, 1.34 
2016,03,13, compLexity, 04, OpTic, 16, cache, 17, 11, 1.28 
2016,03,13, compLexity, 10, OpTic, 16, overpass, 17, 19, 0.88 
2016,03,13, Renegades, 16, OpTic, 09, cobblestone, 15, 19, 0.79 
2016,03,13, Renegades, 07, OpTic, 16, inferno, 23, 12, 1.45 
2016,03,10, OpTic, 16, Cloud9, 07, cobblestone, 10, 14, 0.71 
2016,03,10, Cloud9, 13, OpTic, 16, cache, 15, 21, 0.72 
2016,03,09, Selfless, 07, OpTic, 16, mirage, 17, 18, 0.95 
2016,03,09, OpTic, 16, Selfless, 06, overpass, 26, 12, 1.81 
2016,03,08, OpTic, 16, Liquid, 12, overpass, 27, 20, 1.31 
2016,03,08, OpTic, 07, Liquid, 16, cache, 11, 16, 0.70 
2016,03,08, Liquid, 17, OpTic, 19, train, 18, 27, 0.67 
2016,02,25, AGG, 07, OpTic, 16, inferno, 15, 13, 1.00 
2016,02,25, OpTic, 16, AGG, 06, mirage, 23, 09, 1.62 
2016,02,23, ACE, 12, OpTic, 16, cache, 33, 18, 1.73 
2016,02,23, OpTic, 16, ACE, 03, mirage, 20, 14, 1.40 
2016,02,21, OpTic, 01, TempoStorm, 16, cobblestone, 02, 17, 0.10 
2016,02,21, TempoStorm, 19, OpTic, 22, mirage, 34, 27, 1.16 
2016,02,21, TempoStorm, 16, OpTic, 10, inferno, 28, 20, 1.51 
2016,02,21, OpTic, 16, Torment, 03, inferno, 13, 08, 1.11 
2016,02,21, Torment, 09, OpTic, 16, cobblestone, 28, 18, 1.54 
2016,02,17, OpTic, 16, Splyce, 06, cobblestone, 18, 09, 1.43 
2016,02,17, Splyce, 04, OpTic, 16, cache, 19, 11, 1.42 
2016,02,15, OpTic, 10, Cloud9, 16, train, 16, 18, 0.83 
2016,02,15, OpTic, 11, Cloud9, 16, dust2, 17, 19, 0.83 
2016,02,15, Cloud9, 04, OpTic, 16, inferno, 19, 06, 1.54 
2016,02,14, OpTic, 16, Enemy, 06, mirage, 19, 09, 1.47 
2016,02,14, OpTic, 09, Enemy, 16, train, 10, 20, 0.52 
2016,02,14, Enemy, 09, OpTic, 16, overpass, 29, 11, 1.73 
2016,02,10, OpTic, 16, AGG, 11, cache, 19, 14, 1.28 
2016,02,10, AGG, 10, OpTic, 16, train, 23, 15, 1.33 
2016,01,24, Winterfox, 16, OpTic, 10, cache, 18, 20, 0.92 
2016,01,24, OpTic, 09, Winterfox, 16, inferno, 17, 20, 0.87 
2016,01,24, OpTic, 16, Winterfox, 08, cobblestone, 22, 13, 1.53 
2016,01,23, NRG, 08, OpTic, 16, cache, 20, 14, 1.25 
2016,01,23, NRG, 08, OpTic, 16, inferno, 30, 12, 1.84 
2016,01,17, OpTic, 08, Splyce, 16, mirage, 14, 17, 0.80 
2016,01,17, Splyce, 05, OpTic, 16, cache, 14, 14, 1.02 
2016,01,17, Splyce, 19, OpTic, 17, cobblestone, 30, 19, 1.29 
2016,01,16, Winterfox, 11, OpTic, 16, overpass, 24, 20, 1.15 
2016,01,07, CSGL, 03, OpTic, 16, cobblestone, 23, 08, 1.79 
2016,01,07, CSGL, 13, OpTic, 16, train, 23, 19, 1.08 
2015,12,19, Conquest, 16, Enemy, 10, cobblestone, 23, 18, 1.24 
2015,12,19, Enemy, 14, Conquest, 16, inferno, 24, 17, 1.33 
2015,12,18, Dogmen, 07, Conquest, 16, inferno, 17, 16, 1.19 
2015,12,18, Conquest, 16, Dogmen, 13, cache, 28, 15, 1.44 
2015,12,17, compLexity, 09, Conquest, 16, inferno, 16, 16, 0.94 
2015,12,17, compLexity, 12, Conquest, 16, cache, 21, 17, 1.05 
2015,12,12, Conquest, 06, Liquid, 16, overpass, 11, 22, 0.44 
2015,12,12, Conquest, 07, Liquid, 16, cache, 15, 18, 0.82 
2015,12,12, Liquid, 12, Conquest, 16, inferno, 28, 18, 1.52 
2015,12,10, fnatic, 16, Conquest, 10, inferno, 19, 20, 0.95 
