2015,06,15, GPlay, 16, HellRaisers, 14, cache, 14, 21, 0.69 
2015,06,15, GPlay, 14, HellRaisers, 16, overpass, 17, 17, 0.89 
2015,06,15, HellRaisers, 03, Virtus.pro, 00, inferno, 02, 03, 0.56 
2015,06,09, FlipSid3, 13, HellRaisers, 16, inferno, 13, 17, 0.77 
2015,06,02, Evolution, 13, ACES, 16, cache, 21, 17, 1.12 
2015,06,02, ACES, 19, NewEra, 16, mirage, 18, 24, 0.75 
2015,05,14, NewEra, 02, ACES, 16, cobblestone, 19, 06, 1.62 
2015,05,14, ACES, 16, NewEra, 02, inferno, 21, 06, 1.87 
2015,05,14, NewEra, 16, ACES, 06, mirage, 12, 18, 0.68 
2015,05,07, ACES, 16, LANDODGERS, 09, mirage, 15, 15, 0.97 
2015,05,07, ACES, 16, LANDODGERS, 11, cobblestone, 27, 13, 1.54 
2015,04,23, ACES, 10, EYESports, 16, dust2, 22, 20, 1.14 
2015,04,23, EYESports, 16, ACES, 08, mirage, 15, 18, 0.87 
2015,04,19, HellRaisers, 16, ACES, 05, inferno, 06, 17, 0.42 
2015,04,19, ACES, 11, HellRaisers, 16, dust2, 18, 20, 0.92 
2015,04,19, ACES, 16, HellRaisers, 14, cache, 33, 15, 1.66 
2015,04,19, TEAMSWAGYOLO, 13, ACES, 16, cobblestone, 26, 17, 1.33 
2015,04,19, ACES, 16, TEAMSWAGYOLO, 05, cache, 11, 09, 0.96 
2015,04,19, TEAMSWAGYOLO, 16, ACES, 06, mirage, 07, 19, 0.40 
2015,04,19, ACES, 16, USSR, 12, dust2, 21, 19, 1.16 
2015,04,19, ACES, 16, USSR, 09, cache, 17, 14, 1.07 
2015,04,18, ACES, 16, PiTER, 11, cache, 23, 13, 1.35 
2015,04,18, ACES, 16, PiTER, 09, mirage, 14, 15, 0.84 
2015,04,18, PiTER, 16, ACES, 02, inferno, 11, 17, 0.75 
2015,04,18, GGWP, 16, ACES, 10, dust2, 17, 20, 0.85 
2015,04,17, FlipSid3, 16, ACES, 12, cobblestone, 21, 22, 1.01 
2015,04,17, ACES, 16, WEPLAY, 12, inferno, 16, 16, 0.93 
2015,02,14, FlipSid3, 16, PiTER, 03, mirage, 13, 18, 0.83 
2015,02,14, 0G2, 17, PiTER, 19, mirage, 12, 25, 0.56 
2015,02,14, Titan, 28, PiTER, 24, cache, 33, 37, 0.88 
2014,12,04, Nostalgie, 13, dAT, 16, mirage, 22, 19, 1.20 
2014,12,04, Nostalgie, 26, dAT, 24, cache, 40, 34, 1.18 
2014,12,04, Nostalgie, 08, dAT, 16, inferno, 11, 18, 0.61 
2014,12,04, dAT, 11, Nostalgie, 16, season, 24, 17, 1.20 
2014,12,04, dAT, 16, Nostalgie, 04, overpass, 12, 18, 0.61 
2014,12,02, 97club, 09, Nostalgie, 16, mirage, 22, 16, 1.21 
2014,12,02, Nostalgie, 05, 97club, 16, cache, 10, 17, 0.58 
2014,12,02, Nostalgie, 16, 97club, 02, inferno, 13, 08, 1.25 
2014,12,02, Nostalgie, 16, 97club, 13, overpass, 20, 17, 1.07 
2014,11,11, Russia, 12, France, 16, cobblestone, 17, 19, 0.89 
2014,11,11, Russia, 10, France, 16, nuke, 15, 20, 0.83 
2014,11,04, Russia, 16, Ukraine, 09, cache, 09, 13, 0.72 
2014,11,04, Russia, 16, Ukraine, 06, overpass, 18, 09, 1.22 
2014,10,17, Denmark, 16, Russia, 08, inferno, 14, 19, 0.75 
2014,10,17, Slovakia, 04, Russia, 16, inferno, 16, 07, 1.29 
2014,10,14, Nostalgie, 16, UNNAMED, 12, dust2, 28, 17, 1.49 
2014,10,14, UNNAMED, 09, Nostalgie, 16, season, 16, 13, 1.25 
2014,10,07, dAT, 16, Nostalgie, 09, mirage, 08, 19, 0.49 
2014,10,07, Nostalgie, 15, dAT, 21, cache, 21, 26, 0.81 
2014,09,21, Russia, 16, UnitedKingdom, 05, dust2, 12, 08, 1.12 
2014,09,21, Latvia, 06, Russia, 16, dust2, 12, 09, 1.02 
2014,09,19, Nostalgie, 16, myXMG, 19, dust2, 26, 23, 1.06 
2014,09,17, Orbit, 16, Nostalgie, 13, mirage, 17, 20, 0.86 
2014,09,15, Nostalgie, 06, Virtus.pro, 16, mirage, 16, 17, 0.95 
2014,08,28, Nostalgie, 16, es4x, 13, inferno, 24, 18, 1.18 
2014,08,28, Nostalgie, 08, es4x, 16, dust2, 17, 18, 1.01 
2014,08,28, es4x, 14, Nostalgie, 16, cache, 21, 19, 1.04 
2014,08,20, NOSIR!, 16, Nostalgie, 04, mirage, 18, 17, 1.16 
2014,08,20, Nostalgie, 11, NOSIR!, 16, inferno, 18, 20, 0.94 
2014,08,20, Nostalgie, 16, NOSIR!, 09, cache, 19, 14, 1.14 
2014,08,12, Berzerk, 16, Nostalgie, 14, dust2, 17, 19, 0.87 
2014,08,06, Nostalgie, 09, ESG!, 16, mirage, 15, 20, 0.76 
2014,08,05, Titan, 16, Nostalgie, 06, dust2, 13, 19, 0.74 
2014,07,31, fnatic, 16, Russia, 01, mirage, 06, 16, 0.38 
2014,07,29, Nostalgie, 16, Reason, 06, inferno, 21, 11, 1.44 
2014,07,29, fnatic, 14, Nostalgie, 16, mirage, 21, 20, 0.99 
2014,07,25, NatusVincere, 16, Nostalgie, 13, dust2, 18, 21, 0.88 
2014,07,15, Epsilon, 16, Nostalgie, 07, mirage, 06, 20, 0.35 
2014,07,15, OverGaming, 16, Nostalgie, 05, mirage, 14, 17, 0.93 
2014,07,15, Nostalgie, 01, LDLC, 16, dust2, 07, 17, 0.38 
2014,07,10, OnlineBOTS, 16, Nostalgie, 06, train, 12, 21, 0.70 
2014,07,09, Virtus.pro, 16, Nostalgie, 06, mirage, 16, 21, 0.78 
2014,07,09, ESC, 16, Nostalgie, 07, mirage, 14, 19, 0.80 
2014,07,07, HellRaisers, 16, Nostalgie, 08, dust2, 15, 18, 0.87 
2014,07,06, mousesports, 16, Nostalgie, 03, mirage, 08, 16, 0.54 
2014,06,19, Faith, 11, Nostalgie, 16, cache, 26, 14, 1.48 
2014,06,19, Nostalgie, 16, Faith, 03, dust2, 13, 12, 0.99 
2014,06,19, Faith, 16, Nostalgie, 04, inferno, 08, 17, 0.51 
2014,05,05, Nostalgie, 16, FlipSid3, 09, dust2, 22, 12, 1.41 
2014,05,05, FlipSid3, 14, Nostalgie, 16, inferno, 15, 21, 0.76 
2014,05,05, FlipSid3, 16, Nostalgie, 08, mirage, 12, 19, 0.61 
2014,04,29, Nostalgie, 15, USSR, 19, mirage, 30, 22, 1.28 
2014,04,29, USSR, 16, Nostalgie, 03, dust2, 06, 19, 0.29 
2013,12,10, Nostalgie, 16, KerchNET, 12, mirage, 13, 19, 0.75 
2013,12,10, NatusVincere, 16, Nostalgie, 11, dust2, 14, 20, 0.69 
2013,12,09, 3DMAX, 16, Nostalgie, 07, inferno, 13, 19, 0.69 
2013,12,07, Denmark, 16, Russia, 06, dust2, 07, 18, 0.44 
2013,12,07, Denmark, 21, Russia, 18, nuke, 29, 26, 1.06 
2013,12,07, Russia, 16, Denmark, 03, inferno, 15, 07, 1.36 
2013,12,04, Nostalgie, 16, ENCE, 14, inferno, 18, 21, 0.84 
2013,11,25, Nostalgie, 07, LGB, 16, dust2, 11, 19, 0.62 
2013,11,22, Nostalgie, 11, AstanaDragons, 16, inferno, 14, 22, 0.58 
2013,11,22, Nostalgie, 14, UniversalSoldiers, 16, mirage, 18, 23, 0.83 
2013,11,21, Nostalgie, 14, k1ck, 16, inferno, 13, 22, 0.66 
2013,11,21, Clan-Mystik, 15, Nostalgie, 15, dust2, 10, 21, 0.57 
2013,11,14, iNation, 16, Nostalgie, 10, mirage, 16, 23, 0.72 
2013,11,14, mousesports, 16, Nostalgie, 06, inferno, 10, 18, 0.58 
