2015,10,18, TSM, 16, dignitas, 06, mirage, 09, 19, 0.48 
2015,10,18, EnVyUs, 16, dignitas, 03, cobblestone, 11, 15, 0.72 
2015,10,18, EnVyUs, 16, dignitas, 04, inferno, 10, 16, 0.84 
2015,10,17, dignitas, 08, NiP, 16, dust2, 15, 18, 0.82 
2015,10,17, dignitas, 08, EnVyUs, 16, cache, 13, 21, 0.65 
2015,10,15, dignitas, 16, mousesports, 13, train, 20, 15, 1.01 
2015,10,15, fnatic, 16, dignitas, 09, mirage, 11, 21, 0.52 
2015,10,15, FlipSid3, 06, dignitas, 16, mirage, 13, 12, 0.97 
2015,10,15, dignitas, 16, FlipSid3, 06, overpass, 14, 12, 1.09 
2015,10,15, dignitas, 12, FlipSid3, 16, inferno, 17, 17, 0.99 
2015,10,13, NatusVincere, 19, dignitas, 22, inferno, 21, 28, 0.77 
2015,10,10, 0SK, 14, dignitas, 16, inferno, 20, 18, 1.04 
2015,10,10, dignitas, 16, 0SK, 13, overpass, 13, 19, 0.66 
2015,10,10, dignitas, 16, 0SK, 14, mirage, 22, 21, 0.97 
2015,10,08, TSM, 16, dignitas, 03, dust2, 11, 19, 0.54 
2015,10,07, HellRaisers, 12, dignitas, 16, train, 21, 13, 1.23 
2015,10,06, dignitas, 19, mousesports, 15, cobblestone, 19, 22, 0.91 
2015,10,06, 0G2, 16, dignitas, 07, inferno, 14, 17, 0.82 
2015,10,06, dignitas, 16, 0G2, 12, train, 22, 17, 1.25 
2015,10,05, dignitas, 16, CSGL, 05, cobblestone, 16, 12, 1.18 
2015,10,05, CSGL, 06, dignitas, 16, mirage, 19, 11, 1.24 
2015,10,01, EnVyUs, 16, dignitas, 08, overpass, 18, 17, 1.01 
2015,10,01, dignitas, 16, 0SK, 14, inferno, 25, 13, 1.55 
2015,09,30, dignitas, 16, Titan, 05, cobblestone, 20, 10, 1.53 
2015,09,30, mousesports, 14, dignitas, 16, inferno, 17, 18, 0.94 
2015,09,30, mousesports, 14, dignitas, 16, cobblestone, 19, 21, 0.91 
2015,09,29, dignitas, 16, Orbit, 03, mirage, 18, 10, 1.36 
2015,09,29, dignitas, 16, Orbit, 03, dust2, 20, 06, 1.68 
2015,09,29, Orbit, 16, dignitas, 03, train, 04, 18, 0.22 
2015,09,26, Immunity, 12, dignitas, 16, inferno, 09, 16, 0.64 
2015,09,26, dignitas, 11, Immunity, 16, mirage, 13, 20, 0.61 
2015,09,26, dignitas, 16, Immunity, 12, train, 17, 15, 0.95 
2015,09,22, dignitas, 06, Cloud9, 16, cache, 14, 18, 0.86 
2015,09,22, dignitas, 12, Cloud9, 16, inferno, 11, 15, 0.83 
2015,09,22, dignitas, 16, Immunity, 12, inferno, 16, 20, 0.77 
2015,09,22, Immunity, 05, dignitas, 16, cache, 13, 12, 0.95 
2015,09,20, dignitas, 14, TSM, 16, overpass, 26, 20, 1.23 
2015,09,20, TSM, 16, dignitas, 06, mirage, 08, 18, 0.50 
2015,09,19, EZskins.com, 02, dignitas, 16, mirage, 17, 10, 1.60 
2015,09,19, dignitas, 06, EnVyUs, 16, mirage, 16, 18, 0.89 
2015,09,19, Renegades, 13, dignitas, 16, cobblestone, 15, 19, 0.79 
