2015,11,11, LDLCWhite, 12, LondonConspiracy, 16, inferno, 20, 18, 0.99 
2015,11,11, LDLCWhite, 16, LondonConspiracy, 14, dust2, 21, 21, 0.96 
2015,11,10, LDLCWhite, 16, GRS.GP, 07, dust2, 20, 15, 1.24 
2015,11,10, LDLCWhite, 16, GRS.GP, 03, inferno, 12, 07, 1.20 
2015,11,09, LDLCWhite, 16, LDLCBlue, 08, cobblestone, 19, 15, 1.21 
2015,11,09, LDLCBlue, 10, LDLCWhite, 16, dust2, 22, 16, 1.18 
2015,11,09, LDLCWhite, 13, LDLCBlue, 16, overpass, 17, 25, 0.68 
2015,11,09, LDLCBlue, 25, LDLCWhite, 28, inferno, 31, 37, 0.81 
2015,11,09, LDLCWhite, 16, LDLCBlue, 19, mirage, 27, 28, 0.99 
2015,10,25, TSM, 16, LDLCWhite, 14, inferno, 22, 22, 0.95 
2015,10,25, LDLCWhite, 05, TSM, 16, overpass, 10, 18, 0.65 
2015,10,23, LDLCWhite, 16, DenDD, 09, cache, 14, 19, 0.80 
2015,10,23, LDLCWhite, 12, DenDD, 16, cobblestone, 13, 23, 0.62 
2015,10,22, LDLCWhite, 13, HellRaisers, 16, inferno, 20, 19, 0.98 
2015,10,22, HellRaisers, 16, LDLCWhite, 11, cobblestone, 22, 18, 1.12 
2015,10,19, LDLCWhite, 16, Pulse, 04, dust2, 20, 04, 1.84 
2015,10,19, LDLCWhite, 16, Pulse, 04, cache, 16, 10, 1.34 
2015,10,15, KILLERFISH, 16, LDLCWhite, 11, cache, 19, 19, 1.00 
2015,10,15, LDLCWhite, 09, KILLERFISH, 16, cobblestone, 14, 20, 0.72 
2015,10,05, LDLCWhite, 16, Evokate, 10, inferno, 23, 15, 1.31 
2015,10,05, Evokate, 05, LDLCWhite, 16, dust2, 14, 12, 1.13 
2015,09,28, Publiclir.se, 03, LDLCWhite, 16, cobblestone, 18, 12, 1.43 
2015,09,28, LDLCWhite, 14, Publiclir.se, 16, cache, 32, 22, 1.40 
2015,09,28, LDLCWhite, 16, Publiclir.se, 06, inferno, 11, 11, 0.88 
2015,09,18, Fraternitas, 16, LDLCWhite, 13, dust2, 15, 23, 0.74 
2015,09,18, LDLCWhite, 13, Fraternitas, 16, overpass, 32, 22, 1.42 
2015,09,18, LDLCWhite, 16, Fraternitas, 10, inferno, 15, 14, 0.97 
2015,09,18, LDLCWhite, 16, KeydStars, 06, cache, 20, 09, 1.48 
2015,09,18, LDLCWhite, 16, KeydStars, 06, dust2, 19, 13, 1.35 
2015,09,17, Fraternitas, 16, LDLCWhite, 03, train, 09, 18, 0.50 
2015,09,17, Fraternitas, 16, LDLCWhite, 11, dust2, 20, 18, 1.19 
2015,09,17, Fraternitas, 11, LDLCWhite, 16, cache, 22, 17, 1.35 
2015,09,15, France, 16, Hungary, 12, dust2, 20, 18, 1.05 
