2015,11,28, TSM, 17, Luminosity, 21, inferno, 26, 29, 0.89 
2015,11,28, TSM, 06, Luminosity, 16, overpass, 12, 17, 0.72 
2015,11,28, TSM, 16, Luminosity, 05, mirage, 21, 11, 1.56 
2015,11,26, Virtus.pro, 13, TSM, 16, mirage, 20, 20, 0.99 
2015,11,26, Liquid, 00, TSM, 16, overpass, 09, 09, 1.01 
2015,11,23, NatusVincere, 16, TSM, 08, cobblestone, 15, 19, 0.89 
2015,11,23, TSM, 10, NatusVincere, 16, dust2, 14, 20, 0.82 
2015,11,22, TSM, 16, 0G2, 06, mirage, 22, 10, 1.49 
2015,11,22, 0G2, 07, TSM, 16, overpass, 21, 11, 1.44 
2015,11,22, TSM, 05, 0G2, 16, cache, 15, 17, 0.97 
2015,11,21, Cloud9, 05, TSM, 16, dust2, 12, 11, 1.03 
2015,11,21, Cloud9, 16, TSM, 14, cache, 22, 19, 1.09 
2015,11,21, TSM, 16, Cloud9, 11, overpass, 23, 15, 1.33 
2015,11,18, TSM, 14, fnatic, 16, inferno, 23, 22, 0.95 
2015,11,18, TSM, 11, fnatic, 16, dust2, 13, 20, 0.70 
2015,11,17, EnVyUs, 16, TSM, 12, cobblestone, 09, 20, 0.56 
2015,11,17, mousesports, 07, TSM, 16, cache, 16, 15, 1.19 
2015,11,17, HellRaisers, 04, TSM, 16, dust2, 13, 12, 0.93 
2015,11,17, TSM, 22, HellRaisers, 19, overpass, 23, 26, 0.89 
2015,11,03, TSM, 16, 0SK, 11, overpass, 13, 15, 0.83 
2015,11,03, TSM, 16, HellRaisers, 14, cache, 19, 22, 0.80 
2015,11,03, HellRaisers, 11, TSM, 16, inferno, 16, 19, 0.89 
2015,10,31, TSM, 08, NiP, 16, dust2, 17, 18, 0.96 
2015,10,31, NiP, 16, TSM, 10, train, 14, 18, 0.75 
2015,10,29, TSM, 16, 0G2, 06, dust2, 24, 09, 1.79 
2015,10,28, FlipSid3, 06, TSM, 16, cache, 15, 15, 0.91 
2015,10,25, TSM, 16, LDLCWhite, 14, inferno, 15, 23, 0.70 
2015,10,25, LDLCWhite, 05, TSM, 16, overpass, 12, 12, 0.88 
2015,10,24, TSM, 16, EnVyUs, 09, inferno, 18, 17, 1.03 
