2015,11,07, Liquid, 13, dignitas, 16, cobblestone, 21, 18, 1.07 
2015,11,07, dignitas, 16, Liquid, 08, train, 17, 18, 0.89 
2015,11,03, dignitas, 04, NiP, 16, train, 11, 19, 0.62 
2015,10,29, dignitas, 14, CLG, 16, cobblestone, 37, 20, 1.73 
2015,10,28, EnVyUs, 16, dignitas, 06, cobblestone, 22, 18, 1.30 
2015,10,21, dignitas, 19, FlipSid3, 17, mirage, 28, 26, 1.05 
2015,10,21, dignitas, 16, FlipSid3, 07, inferno, 28, 11, 1.80 
2015,10,20, dignitas, 16, PENTA, 11, mirage, 29, 17, 1.65 
2015,10,19, dignitas, 16, 0SK, 08, cache, 26, 12, 1.77 
2015,10,19, dignitas, 16, HellRaisers, 09, mirage, 17, 16, 1.07 
2015,10,19, dignitas, 05, NatusVincere, 16, overpass, 10, 19, 0.53 
2015,10,18, TSM, 16, dignitas, 06, mirage, 10, 19, 0.60 
2015,10,18, EnVyUs, 16, dignitas, 03, cobblestone, 08, 17, 0.47 
2015,10,18, EnVyUs, 16, dignitas, 04, inferno, 07, 18, 0.37 
2015,10,17, dignitas, 08, NiP, 16, dust2, 09, 17, 0.58 
2015,10,17, dignitas, 08, EnVyUs, 16, cache, 20, 20, 1.03 
2015,10,15, dignitas, 16, mousesports, 13, train, 25, 20, 1.25 
2015,10,15, fnatic, 16, dignitas, 09, mirage, 22, 18, 1.22 
2015,10,15, FlipSid3, 06, dignitas, 16, mirage, 17, 12, 1.15 
2015,10,15, dignitas, 16, FlipSid3, 06, overpass, 27, 13, 1.75 
2015,10,15, dignitas, 12, FlipSid3, 16, inferno, 19, 20, 0.97 
2015,10,13, NatusVincere, 19, dignitas, 22, inferno, 42, 26, 1.47 
2015,10,10, 0SK, 14, dignitas, 16, inferno, 18, 21, 0.94 
2015,10,10, dignitas, 16, 0SK, 13, overpass, 23, 18, 1.13 
2015,10,10, dignitas, 16, 0SK, 14, mirage, 22, 25, 0.85 
2015,10,08, TSM, 16, dignitas, 03, dust2, 10, 16, 0.72 
2015,10,07, HellRaisers, 12, dignitas, 16, train, 28, 19, 1.43 
2015,10,06, dignitas, 19, mousesports, 15, cobblestone, 24, 22, 1.05 
2015,10,06, 0G2, 16, dignitas, 07, inferno, 12, 21, 0.58 
2015,10,06, dignitas, 16, 0G2, 12, train, 23, 19, 1.09 
2015,10,05, dignitas, 16, CSGL, 05, cobblestone, 25, 11, 1.94 
2015,10,05, CSGL, 06, dignitas, 16, mirage, 22, 12, 1.52 
2015,10,01, EnVyUs, 16, dignitas, 08, overpass, 22, 20, 1.12 
2015,10,01, dignitas, 16, 0SK, 14, inferno, 25, 17, 1.36 
2015,09,30, dignitas, 16, Titan, 05, cobblestone, 15, 15, 1.11 
2015,09,30, mousesports, 14, dignitas, 16, inferno, 16, 20, 0.81 
2015,09,30, mousesports, 14, dignitas, 16, cobblestone, 28, 19, 1.33 
2015,09,29, dignitas, 16, Orbit, 03, mirage, 24, 12, 1.69 
2015,09,29, dignitas, 16, Orbit, 03, dust2, 19, 08, 1.61 
2015,09,29, Orbit, 16, dignitas, 03, train, 13, 18, 0.80 
2015,09,26, Immunity, 12, dignitas, 16, inferno, 29, 14, 1.56 
2015,09,26, dignitas, 11, Immunity, 16, mirage, 22, 18, 1.23 
2015,09,26, dignitas, 16, Immunity, 12, train, 29, 22, 1.23 
