2015,09,18, LDLCWhite, 16, KeydStars, 06, dust2, 24, 13, 1.67 
2015,09,17, Fraternitas, 16, LDLCWhite, 03, train, 08, 17, 0.56 
2015,09,17, Fraternitas, 16, LDLCWhite, 11, dust2, 17, 22, 0.81 
2015,09,17, Fraternitas, 11, LDLCWhite, 16, cache, 28, 16, 1.50 
2015,09,14, Serbia, 07, France, 16, inferno, 19, 12, 1.21 
2015,08,17, LDLCWhite, 13, CPHWolves, 16, overpass, 24, 20, 1.16 
2015,08,17, CPHWolves, 16, LDLCWhite, 12, inferno, 24, 20, 1.07 
2015,07,10, NiP, 16, LDLCWhite, 08, cache, 15, 18, 0.92 
2015,07,10, LDLCWhite, 13, QeeYou, 16, inferno, 15, 20, 0.85 
2015,07,10, LDLCWhite, 13, Liquid, 16, train, 15, 23, 0.68 
2015,05,31, EnVyUs, 16, PENTA, 07, dust2, 18, 10, 1.37 
2015,05,29, EnVyUs, 16, Acer, 09, dust2, 17, 14, 1.08 
2015,05,29, Acer, 16, EnVyUs, 06, mirage, 18, 20, 0.97 
2015,05,29, EnVyUs, 19, Acer, 17, cache, 20, 22, 0.88 
2015,05,26, Fraternitas, 16, LDLCWhite, 09, train, 18, 17, 1.01 
2015,05,26, LDLCWhite, 10, Fraternitas, 16, inferno, 10, 18, 0.62 
2015,05,26, Fraternitas, 05, LDLCWhite, 16, dust2, 22, 11, 1.65 
2015,05,26, Acer, 12, LDLCWhite, 16, cobblestone, 24, 19, 1.23 
2015,05,25, LDLCWhite, 14, INSHOCK, 16, train, 21, 23, 0.90 
2015,05,25, LDLCWhite, 05, INSHOCK, 16, cache, 18, 17, 1.26 
2015,05,25, INSHOCK, 03, LDLCWhite, 16, dust2, 12, 12, 0.92 
2015,05,25, LDLCWhite, 21, USSR, 17, dust2, 31, 24, 1.09 
2015,05,25, LDLCWhite, 21, USSR, 18, cobblestone, 36, 24, 1.41 
2015,05,24, LGB, 16, LDLCWhite, 12, dust2, 18, 20, 0.92 
2015,05,21, LDLCWhite, 06, FlipSid3, 16, mirage, 08, 18, 0.47 
2015,05,21, FlipSid3, 10, LDLCWhite, 16, cache, 25, 17, 1.31 
2015,05,21, LDLCWhite, 12, FlipSid3, 16, cobblestone, 23, 19, 1.08 
2015,05,20, SpaceSoldiers, 16, LDLCWhite, 08, dust2, 15, 20, 0.80 
2015,05,18, LDLCWhite, 10, PiTER, 16, mirage, 17, 19, 0.84 
2015,05,18, PiTER, 16, LDLCWhite, 07, inferno, 13, 19, 0.74 
2015,05,14, LDLCWhite, 16, LDLCBlue, 05, inferno, 23, 07, 1.79 
2015,05,13, KILLERFISH, 09, LDLCWhite, 16, inferno, 23, 15, 1.37 
2015,05,11, Publiclir.se, 13, LDLCWhite, 16, inferno, 22, 13, 1.28 
2015,05,09, HellRaisers, 16, LDLCWhite, 14, cache, 21, 22, 0.96 
2015,05,09, LDLCWhite, 22, EnVyUs, 25, inferno, 31, 35, 0.87 
2015,05,09, LDLCWhite, 16, Awsomniac, 14, cobblestone, 24, 19, 1.24 
2015,05,08, LDLCBlue, 08, LDLCWhite, 16, cobblestone, 22, 15, 1.27 
