2015,09,17, Norway, 16, Belgium, 12, cache, 28, 16, 1.45 
2015,09,16, CPHWolves, 14, Property, 16, cache, 16, 22, 0.72 
2015,09,16, Property, 11, CPHWolves, 16, mirage, 25, 19, 1.27 
2015,09,06, CPHWolves, 16, k1ck, 05, mirage, 29, 12, 1.97 
2015,09,06, k1ck, 22, CPHWolves, 26, cobblestone, 34, 30, 1.01 
2015,09,06, PENTA, 12, CPHWolves, 16, overpass, 26, 20, 1.28 
2015,09,06, CPHWolves, 11, PENTA, 16, cache, 10, 17, 0.65 
2015,09,06, CPHWolves, 21, PENTA, 19, mirage, 35, 26, 1.35 
2015,09,06, CPHWolves, 16, EURONICS, 03, dust2, 23, 06, 2.21 
2015,09,06, CPHWolves, 16, EURONICS, 12, cache, 23, 16, 1.22 
2015,08,30, dignitas, 16, CPHWolves, 07, overpass, 14, 20, 0.74 
2015,08,30, CPHWolves, 15, dignitas, 19, mirage, 24, 24, 1.03 
2015,08,27, CPHWolves, 16, INFINITY, 07, mirage, 30, 11, 1.84 
2015,08,27, INFINITY, 16, CPHWolves, 19, cache, 25, 22, 1.07 
2015,08,24, Games4ufe, 06, nerdRage, 16, dust2, 17, 17, 1.07 
2015,08,19, CPHWolves, 16, E-frag.net, 08, overpass, 22, 14, 1.35 
2015,08,19, E-frag.net, 16, CPHWolves, 05, inferno, 12, 18, 0.68 
2015,08,19, E-frag.net, 16, CPHWolves, 04, mirage, 14, 17, 1.00 
2015,08,19, E-frag.net, 05, CPHWolves, 16, dust2, 20, 14, 1.21 
2015,08,19, CPHWolves, 16, E-frag.net, 13, cache, 28, 21, 1.23 
2015,08,17, LDLCWhite, 13, CPHWolves, 16, overpass, 30, 17, 1.56 
2015,08,17, CPHWolves, 16, LDLCWhite, 12, inferno, 15, 18, 0.82 
2015,06,28, 1337, 16, LGB, 10, mirage, 17, 22, 0.81 
2015,06,28, 1337, 16, LGB, 11, inferno, 18, 19, 0.91 
2015,06,28, LGB, 16, 1337, 13, cache, 18, 19, 1.00 
2015,06,25, GPlay, 16, LGB, 08, dust2, 06, 18, 0.49 
2015,06,25, GPlay, 03, LGB, 16, mirage, 19, 05, 1.80 
2015,06,25, GPlay, 16, LGB, 09, cache, 12, 20, 0.66 
2015,06,23, NiP, 16, LGB, 10, dust2, 24, 20, 1.14 
2015,06,23, LGB, 07, NiP, 16, inferno, 12, 17, 0.77 
2015,06,18, 0SK, 19, LGB, 21, train, 18, 31, 0.59 
2015,06,18, LGB, 16, 0SK, 07, dust2, 22, 11, 1.67 
2015,06,17, Titan, 16, LGB, 12, dust2, 24, 21, 1.11 
2015,06,17, LGB, 11, Titan, 16, overpass, 17, 20, 0.77 
2015,06,13, LGB, 05, FlipSid3, 16, cache, 11, 19, 0.57 
2015,06,13, LGB, 13, fnatic, 16, cache, 21, 21, 1.03 
2015,06,03, LGB, 11, GPlay, 16, mirage, 20, 19, 0.97 
2015,06,03, LGB, 16, GPlay, 04, dust2, 21, 11, 1.45 
2015,06,03, GPlay, 19, LGB, 17, cache, 24, 28, 0.88 
2015,06,01, PENTA, 16, LGB, 13, cache, 24, 21, 1.08 
2015,06,01, LGB, 19, PENTA, 17, overpass, 30, 21, 1.21 
2015,05,31, HellRaisers, 07, LGB, 16, inferno, 24, 09, 1.72 
2015,05,31, HellRaisers, 12, LGB, 16, mirage, 22, 19, 1.06 
2015,05,31, HellRaisers, 21, LGB, 17, dust2, 31, 29, 1.10 
2015,05,31, LGB, 16, HellRaisers, 12, cache, 25, 19, 1.15 
2015,05,31, LGB, 13, HellRaisers, 16, overpass, 26, 20, 1.27 
2015,05,31, ISKOLD, 06, LGB, 16, dust2, 15, 13, 1.06 
2015,05,31, ISKOLD, 05, LGB, 16, cache, 19, 15, 1.15 
2015,05,31, LGB, 12, ISKOLD, 16, mirage, 17, 21, 0.86 
2015,05,28, x6tence, 16, LGB, 10, mirage, 17, 21, 0.88 
2015,05,28, x6tence, 13, LGB, 16, cache, 23, 19, 1.16 
2015,05,28, x6tence, 16, LGB, 07, overpass, 12, 18, 0.76 
2015,05,28, LGB, 11, FlipSid3, 16, mirage, 12, 23, 0.58 
2015,05,28, FlipSid3, 16, LGB, 08, cache, 09, 19, 0.53 
2015,05,27, LGB, 16, ENCORE, 09, inferno, 15, 09, 1.12 
2015,05,27, ENCORE, 09, LGB, 16, dust2, 19, 13, 1.24 
2015,05,27, ENCORE, 16, LGB, 08, cache, 17, 17, 1.02 
2015,05,25, Fraternitas, 16, LGB, 01, mirage, 09, 16, 0.66 
2015,05,24, LGB, 16, LDLCWhite, 12, dust2, 14, 17, 0.78 
2015,05,24, Acer, 16, LGB, 10, mirage, 17, 23, 0.80 
2015,05,22, TSM, 16, LGB, 14, cache, 20, 21, 0.96 
2015,05,22, TSM, 16, LGB, 05, mirage, 13, 16, 0.88 
2015,05,21, LGB, 16, KILLERFISH, 02, cache, 20, 08, 1.74 
2015,05,21, KILLERFISH, 08, LGB, 16, overpass, 16, 16, 0.94 
2015,05,21, LGB, 16, SpaceSoldiers, 03, cache, 25, 12, 1.89 
2015,05,18, mousesports, 16, LGB, 10, cache, 21, 20, 1.06 
2015,05,18, LGB, 16, mousesports, 08, mirage, 22, 12, 1.32 
2015,05,18, 0G2, 13, LGB, 16, overpass, 21, 19, 0.95 
2015,05,18, LGB, 05, 0G2, 16, mirage, 12, 19, 0.64 
2015,05,12, LGB, 07, GPlay, 16, inferno, 11, 16, 0.72 
2015,05,12, GPlay, 16, LGB, 08, mirage, 15, 22, 0.76 
2015,05,11, Virtus.pro, 05, LGB, 16, overpass, 17, 11, 1.31 
2015,05,11, LGB, 08, Virtus.pro, 16, mirage, 20, 17, 1.30 
2015,05,11, LGB, 03, NatusVincere, 16, dust2, 10, 16, 0.69 
2015,05,11, NatusVincere, 16, LGB, 03, overpass, 15, 16, 0.90 
2015,05,07, LGB, 11, HellRaisers, 16, mirage, 23, 23, 1.07 
2015,05,07, HellRaisers, 16, LGB, 05, inferno, 08, 19, 0.56 
2015,05,05, EnVyUs, 06, LGB, 16, cache, 15, 16, 0.84 
2015,05,05, EnVyUs, 16, LGB, 08, inferno, 22, 19, 1.15 
2015,05,05, LGB, 16, EnVyUs, 08, overpass, 25, 11, 1.60 
2015,05,05, LGB, 16, Property, 14, inferno, 17, 20, 0.78 
2015,05,05, Property, 03, LGB, 16, mirage, 19, 09, 1.59 
2015,05,04, HellRaisers, 16, LGB, 11, cache, 14, 23, 0.61 
2015,05,04, LGB, 19, HellRaisers, 17, mirage, 35, 23, 1.38 
2015,04,30, LGB, 16, FlipSid3, 00, cache, 10, 09, 0.99 
2015,04,30, LGB, 11, FlipSid3, 16, cobblestone, 28, 16, 1.46 
2015,04,30, FlipSid3, 13, LGB, 16, inferno, 21, 18, 1.03 
2015,04,28, LGB, 16, x6tence, 07, overpass, 22, 11, 1.48 
2015,04,28, x6tence, 22, LGB, 20, mirage, 26, 29, 0.91 
2015,04,23, Virtus.pro, 12, LGB, 16, overpass, 18, 21, 0.87 
2015,04,23, Virtus.pro, 16, LGB, 14, mirage, 23, 21, 1.19 
2015,04,16, NatusVincere, 16, LGB, 12, mirage, 20, 18, 1.03 
2015,04,16, LGB, 10, EnVyUs, 16, overpass, 13, 19, 0.70 
2015,04,14, LGB, 13, Titan, 16, cache, 21, 21, 1.21 
2015,04,07, LGB, 12, NiP, 16, mirage, 19, 21, 0.81 
2015,04,04, LGB, 03, FlipSid3, 16, mirage, 07, 18, 0.38 
2015,04,04, LGB, 14, TSM, 16, overpass, 11, 22, 0.56 
2015,04,04, TSM, 16, LGB, 01, inferno, 08, 16, 0.58 
