2015,11,07, Virtus.pro, 16, Conquest, 07, train, 11, 21, 0.52 
2015,11,05, Enemy, 06, Conquest, 16, mirage, 12, 12, 0.93 
2015,11,04, Conquest, 16, SKDC, 03, train, 14, 11, 1.08 
2015,10,30, compLexity, 13, Conquest, 16, cobblestone, 17, 20, 0.82 
2015,10,30, compLexity, 13, Conquest, 16, inferno, 18, 20, 0.89 
2015,10,28, Coastless, 09, Conquest, 16, train, 15, 16, 0.89 
2015,10,28, Coastless, 07, Conquest, 16, overpass, 11, 18, 0.60 
2015,10,27, Splyce, 05, Conquest, 16, overpass, 14, 11, 1.06 
2015,10,27, Conquest, 16, Splyce, 13, train, 18, 19, 0.92 
2015,10,22, Conquest, 16, Cloud9, 06, overpass, 16, 13, 1.13 
2015,10,21, Enemy, 09, Conquest, 16, overpass, 12, 15, 0.82 
2015,10,19, Winterfox, 14, Conquest, 16, cobblestone, 19, 23, 0.85 
2015,10,19, Method, 03, Conquest, 16, overpass, 11, 08, 1.08 
2015,10,18, Method, 07, Conquest, 16, dust2, 18, 16, 1.26 
2015,10,18, Conquest, 16, Winterfox, 13, inferno, 21, 19, 1.09 
2015,10,15, 3sUP, 16, Conquest, 10, dust2, 13, 17, 0.77 
2015,10,14, Luminosity, 16, Conquest, 11, mirage, 15, 22, 0.74 
2015,10,10, Sweden, 16, Canada, 11, cobblestone, 19, 19, 1.00 
2015,10,10, Canada, 17, Sweden, 19, inferno, 24, 23, 1.05 
2015,10,09, Norway, 10, Canada, 16, dust2, 20, 15, 1.21 
2015,10,09, Belgium, 09, Canada, 16, train, 18, 17, 0.98 
2015,10,05, Enemy, 10, Conquest, 16, mirage, 18, 17, 0.97 
2015,10,05, Conquest, 16, Enemy, 11, inferno, 16, 17, 0.86 
2015,10,05, Winterfox, 07, Conquest, 16, cache, 17, 13, 1.22 
2015,10,05, Winterfox, 06, Conquest, 16, inferno, 20, 11, 1.43 
2015,10,02, Conquest, 11, Luminosity, 16, train, 14, 22, 0.67 
2015,09,30, Conquest, 17, compLexity, 19, cobblestone, 19, 20, 0.84 
2015,09,29, Luminosity, 16, Conquest, 10, dust2, 10, 20, 0.53 
2015,09,29, Luminosity, 16, Conquest, 14, cobblestone, 14, 17, 0.76 
2015,09,28, Method, 08, Conquest, 16, train, 14, 14, 0.97 
2015,09,28, Conquest, 16, Method, 10, cache, 21, 18, 1.06 
2015,09,25, Conquest, 16, Coast, 06, cobblestone, 12, 10, 1.03 
2015,09,25, Coast, 04, Conquest, 16, inferno, 14, 13, 1.02 
2015,09,23, Conquest, 16, Leader-1, 04, inferno, 13, 10, 1.30 
2015,09,23, ACE, 10, Conquest, 16, cobblestone, 15, 18, 0.80 
2015,09,18, Conquest, 21, Luminosity, 26, cache, 19, 32, 0.64 
2015,09,18, Luminosity, 08, Conquest, 16, inferno, 18, 17, 0.96 
2015,09,18, Conquest, 06, Luminosity, 16, mirage, 13, 18, 0.77 
2015,09,17, CLG, 16, Conquest, 11, cobblestone, 09, 21, 0.48 
2015,09,17, Coast, 16, Conquest, 09, cobblestone, 18, 19, 0.91 
2015,09,17, Braindead, 04, Conquest, 16, cache, 12, 11, 0.96 
2015,09,17, Conquest, 16, Braindead, 06, cobblestone, 17, 12, 1.28 
2015,09,16, Conquest, 16, Liquid, 06, train, 15, 10, 1.23 
2015,09,15, Conquest, 16, Enemy, 02, inferno, 15, 05, 1.38 
2015,09,15, Enemy, 14, Conquest, 16, cache, 12, 23, 0.60 
2015,09,14, Conquest, 16, CLG, 14, mirage, 19, 24, 0.81 
2015,09,14, CLG, 13, Conquest, 16, cobblestone, 16, 16, 0.97 
2015,09,14, Conquest, 13, CLG, 16, train, 18, 16, 0.96 
2015,09,13, Conquest, 21, Luminosity, 25, inferno, 31, 29, 1.04 
2015,09,13, Luminosity, 19, Conquest, 22, cobblestone, 13, 29, 0.53 
2015,09,13, Conquest, 14, Luminosity, 16, train, 19, 22, 0.90 
2015,09,12, Coast, 20, Conquest, 22, dust2, 31, 28, 1.05 
2015,09,12, Conquest, 16, Coast, 06, cobblestone, 13, 14, 0.84 
2015,09,12, Mythic, 16, Conquest, 07, dust2, 09, 21, 0.45 
2015,09,12, Mythic, 07, Conquest, 16, mirage, 21, 11, 1.47 
2015,09,12, Mythic, 26, Conquest, 21, cache, 31, 32, 0.93 
2015,09,12, Conquest, 16, GamesAcademy, 14, inferno, 23, 21, 1.04 
2015,09,12, GamesAcademy, 01, Conquest, 16, cobblestone, 07, 10, 0.71 
2015,09,08, Splyce, 05, Conquest, 16, dust2, 15, 12, 1.11 
2015,09,08, Splyce, 09, Conquest, 16, cache, 20, 14, 1.14 
2015,09,02, Liquid, 16, Conquest, 09, mirage, 09, 18, 0.55 
2015,09,02, Liquid, 13, Conquest, 16, cache, 17, 23, 0.80 
2015,09,01, CLG, 16, Conquest, 13, mirage, 10, 21, 0.53 
2015,08,28, Conquest, 16, CLG, 14, cobblestone, 12, 19, 0.65 
2015,08,26, Conquest, 16, 3sUP, 11, cache, 21, 13, 1.24 
2015,08,26, 3sUP, 16, Conquest, 10, mirage, 17, 19, 0.88 
2015,08,18, Conquest, 19, Mortality, 16, inferno, 20, 22, 0.86 
2015,08,18, Mortality, 26, Conquest, 28, cache, 37, 40, 0.93 
2015,08,17, MaximumEffort, 10, Conquest, 16, inferno, 20, 18, 1.09 
2015,08,17, Conquest, 11, MaximumEffort, 16, cache, 13, 22, 0.66 
2015,08,14, Liquid, 19, TempoStorm, 16, inferno, 27, 24, 1.02 
2015,08,14, TempoStorm, 02, Liquid, 16, dust2, 05, 16, 0.32 
2015,08,12, Method, 27, eLevate, 31, inferno, 41, 38, 1.06 
2015,08,12, eLevate, 16, Method, 19, cache, 18, 25, 0.76 
2015,08,12, Method, 07, eLevate, 16, mirage, 19, 15, 1.15 
2015,08,02, eLevate, 05, Cloud9, 16, cache, 05, 15, 0.46 
2015,08,02, Cloud9, 16, eLevate, 07, inferno, 14, 18, 0.74 
2015,08,02, eLevate, 16, Mythic, 13, mirage, 16, 18, 0.87 
2015,08,02, eLevate, 16, MaximumEffort, 03, cobblestone, 16, 09, 1.26 
2015,08,01, eLevate, 11, CLG, 16, overpass, 11, 20, 0.64 
2015,05,02, Immunity, 16, Liquid, 14, mirage, 20, 21, 1.03 
2015,05,02, Liquid, 13, Immunity, 16, cache, 17, 23, 0.74 
2015,05,02, Liquid, 16, Immunity, 08, inferno, 14, 14, 0.92 
2015,05,01, fnatic, 16, Liquid, 03, mirage, 09, 17, 0.59 
2015,05,01, fnatic, 16, Liquid, 01, cobblestone, 05, 16, 0.29 
2015,04,09, Liquid, 09, Cloud9, 16, cache, 13, 20, 0.67 
2015,04,01, eLevate, 16, Liquid, 06, nuke, 07, 18, 0.47 
2015,03,27, Cloud9, 13, Liquid, 16, cobblestone, 22, 20, 1.03 
2015,03,25, Liquid, 16, Mythic, 03, mirage, 14, 10, 1.12 
2015,02,27, Liquid, 16, SKDC, 04, mirage, 15, 11, 1.31 
2015,02,25, Mythic, 12, Liquid, 16, inferno, 22, 20, 1.10 
2015,02,20, CLG, 12, Liquid, 16, mirage, 18, 14, 1.01 
2015,02,19, Liquid, 16, eLevate, 09, inferno, 19, 20, 0.94 
2015,02,14, CPHWolves, 16, Liquid, 10, mirage, 18, 20, 0.90 
2015,02,14, FlipSid3, 16, Liquid, 14, mirage, 12, 25, 0.55 
2015,01,24, Liquid, 06, LDLC, 16, dust2, 08, 18, 0.56 
2015,01,24, Liquid, 16, CLG, 05, cache, 19, 11, 1.39 
2015,01,23, fnatic, 16, Liquid, 03, inferno, 08, 18, 0.52 
2014,12,19, iBUYPOWER, 16, Denial, 05, dust2, 11, 19, 0.57 
2014,12,19, iBUYPOWER, 16, Denial, 14, inferno, 17, 23, 0.76 
2014,12,19, Denial, 06, iBUYPOWER, 16, cache, 09, 17, 0.66 
2014,12,07, iBUYPOWER, 16, Denial, 12, inferno, 15, 22, 0.79 
2014,12,07, Denial, 13, iBUYPOWER, 16, cache, 13, 20, 0.73 
2014,12,07, Denial, 16, Cloud9, 14, mirage, 21, 20, 0.97 
2014,12,07, Cloud9, 16, Denial, 19, inferno, 28, 25, 1.15 
2014,12,06, Denial, 16, eLevate, 10, inferno, 10, 21, 0.50 
2014,12,06, Denial, 19, eLevate, 16, cache, 22, 23, 0.94 
2014,12,06, eLevate, 16, Denial, 13, season, 24, 22, 0.99 
2014,12,06, Denial, 12, Titan, 16, mirage, 11, 22, 0.57 
2014,12,06, Titan, 22, Denial, 19, inferno, 27, 32, 0.81 
2014,11,10, iBUYPOWER, 16, Denial, 09, cache, 13, 21, 0.63 
2014,11,10, Denial, 09, iBUYPOWER, 16, dust2, 10, 19, 0.60 
2014,11,10, iBUYPOWER, 12, Denial, 16, inferno, 16, 20, 0.81 
2014,11,10, Denial, 13, iBUYPOWER, 16, mirage, 16, 25, 0.73 
2014,10,21, Denial, 10, NetcodeGuides.com, 16, nuke, 12, 20, 0.71 
2014,10,09, iBUYPOWER, 31, LunatiK, 27, dust2, 35, 41, 0.84 
2014,10,02, NetcodeGuides.com, 16, LunatiK, 10, nuke, 08, 19, 0.48 
2014,09,18, LunatiK, 16, savage, 06, inferno, 16, 09, 1.14 
2014,09,17, Mobility, 12, LunatiK, 16, inferno, 20, 17, 1.06 
2014,09,04, Cloud9, 16, LunatiK, 11, dust2, 18, 21, 0.80 
