2015,12,05, KILLERFISH, 10, PENTA, 16, cache, 11, 18, 0.63 
2015,12,05, KILLERFISH, 08, PENTA, 16, cobblestone, 18, 14, 1.14 
2015,12,05, PENTA, 17, KILLERFISH, 19, dust2, 21, 26, 0.81 
2015,12,05, PENTA, 19, Planetkey, 15, mirage, 29, 25, 1.10 
2015,12,05, Planetkey, 03, PENTA, 16, cache, 16, 10, 1.30 
2015,12,03, PENTA, 16, LDLCWhite, 09, dust2, 14, 15, 0.93 
2015,12,03, PENTA, 19, LDLCWhite, 17, cobblestone, 27, 22, 1.15 
2015,11,26, PENTA, 11, unu.AiN, 16, cache, 18, 21, 0.87 
2015,11,26, unu.AiN, 16, PENTA, 06, inferno, 13, 19, 0.76 
2015,11,24, PENTA, 16, Caseking, 11, cobblestone, 27, 17, 1.48 
2015,11,24, PENTA, 16, Caseking, 04, mirage, 25, 08, 2.03 
2015,11,23, PENTA, 04, E-frag.net, 16, cobblestone, 17, 18, 0.97 
2015,11,23, E-frag.net, 16, PENTA, 09, dust2, 18, 19, 0.91 
2015,11,18, PENTA, 16, LondonConspiracy, 09, mirage, 30, 18, 1.88 
2015,11,18, LondonConspiracy, 05, PENTA, 16, dust2, 28, 10, 2.07 
2015,11,17, PENTA, 10, dignitas, 16, dust2, 19, 15, 1.11 
2015,11,17, PENTA, 11, 0SK, 16, mirage, 22, 17, 1.20 
2015,11,15, PENTA, 16, 0SK, 08, mirage, 17, 13, 1.09 
2015,11,15, LDLCBlue, 11, PENTA, 16, dust2, 21, 14, 1.21 
2015,11,15, Vexed, 21, PENTA, 18, mirage, 24, 26, 0.92 
2015,11,12, PENTA, 16, EZskins.com, 07, cache, 22, 15, 1.36 
2015,11,12, PENTA, 16, EZskins.com, 06, mirage, 22, 10, 1.52 
2015,11,12, PENTA, 16, NatusVincere, 12, cobblestone, 26, 13, 1.57 
2015,11,12, 0G2, 16, PENTA, 11, mirage, 15, 21, 0.71 
2015,11,12, 0G2, 16, PENTA, 10, cache, 12, 21, 0.59 
2015,11,11, NatusVincere, 16, PENTA, 08, mirage, 12, 21, 0.59 
2015,11,11, PENTA, 08, NatusVincere, 16, overpass, 11, 20, 0.54 
2015,11,11, PENTA, 13, mousesports, 16, overpass, 21, 16, 1.13 
2015,11,11, PENTA, 09, Titan, 16, dust2, 12, 20, 0.63 
2015,11,10, PENTA, 16, Planetkey, 10, mirage, 20, 15, 1.01 
2015,11,10, PENTA, 12, Planetkey, 16, dust2, 18, 19, 0.94 
2015,11,05, EnVyUs, 16, PENTA, 13, mirage, 19, 22, 0.84 
2015,11,04, NiP, 16, PENTA, 07, cache, 12, 19, 0.68 
2015,11,03, PENTA, 08, mousesports, 16, dust2, 18, 18, 1.05 
2015,10,25, fnatic, 16, PENTA, 14, inferno, 23, 22, 1.09 
2015,10,25, PENTA, 16, HellRaisers, 08, dust2, 11, 10, 0.93 
2015,10,22, 0SK, 16, PENTA, 06, train, 12, 16, 0.78 
2015,10,22, PENTA, 10, Virtus.pro, 16, train, 14, 19, 0.76 
2015,10,21, fnatic, 16, PENTA, 07, cobblestone, 16, 21, 0.78 
2015,10,21, PENTA, 03, Titan, 16, inferno, 10, 15, 0.70 
2015,10,20, PENTA, 16, Infused, 13, mirage, 18, 20, 0.87 
2015,10,20, PENTA, 16, Infused, 12, dust2, 20, 19, 1.09 
