2016,03,13, CPHWolves, 12, 0G2, 16, inferno, 19, 19, 1.06 
2016,03,13, 0G2, 15, CPHWolves, 19, dust2, 14, 25, 0.61 
2016,03,13, 0G2, 16, CPHWolves, 13, cobblestone, 26, 20, 1.30 
2016,03,13, eSuba, 12, 0G2, 16, train, 25, 19, 1.28 
2016,03,13, 0G2, 16, eSuba, 06, dust2, 13, 09, 1.08 
2016,03,13, eSuba, 16, 0G2, 08, cache, 15, 19, 0.84 
2016,03,12, Virtus.pro, 06, 0G2, 16, overpass, 22, 14, 1.74 
2016,03,12, 0G2, 14, Virtus.pro, 16, train, 17, 24, 0.81 
2016,03,09, 0G2, 16, EnVyUs, 12, train, 22, 18, 1.24 
2016,03,09, 0G2, 16, EnVyUs, 11, cache, 21, 21, 1.05 
2016,02,27, FlipSid3, 14, 0G2, 16, inferno, 30, 18, 1.49 
2016,02,26, TempoStorm, 13, 0G2, 16, dust2, 22, 15, 1.23 
2016,02,23, 0G2, 10, mousesports, 16, overpass, 11, 21, 0.60 
2016,02,23, 0G2, 16, mousesports, 13, dust2, 20, 20, 0.95 
2016,02,21, fnatic, 16, 0G2, 08, overpass, 22, 18, 1.38 
2016,02,21, 0G2, 07, fnatic, 16, inferno, 13, 19, 0.89 
2016,02,20, 0G2, 16, Astralis, 13, dust2, 17, 17, 0.95 
2016,02,20, 0G2, 16, Vexed, 09, overpass, 19, 12, 1.20 
2016,02,20, 0G2, 16, x6tence, 03, train, 20, 06, 1.71 
2016,02,19, 0G2, 17, Astralis, 19, dust2, 18, 22, 0.85 
2016,02,15, fnatic, 16, 0G2, 07, inferno, 10, 19, 0.58 
2016,02,15, fnatic, 16, 0G2, 05, cobblestone, 20, 19, 1.29 
2016,02,10, 0G2, 16, Astralis, 08, cache, 11, 16, 0.70 
2016,02,10, Astralis, 16, 0G2, 10, inferno, 19, 19, 0.99 
2016,02,06, 0G2, 10, CLG, 16, cobblestone, 14, 21, 0.74 
2016,02,06, CLG, 06, 0G2, 16, inferno, 10, 17, 0.62 
2016,02,06, 0G2, 14, CLG, 16, dust2, 16, 22, 0.84 
2016,02,05, Cloud9, 11, 0G2, 16, train, 10, 20, 0.69 
2016,02,05, 0G2, 16, Cloud9, 03, cache, 17, 05, 1.59 
2016,02,05, Astralis, 19, 0G2, 15, cache, 21, 28, 0.83 
2016,02,05, 0G2, 16, Astralis, 13, overpass, 18, 19, 0.98 
2016,02,05, 0G2, 11, Astralis, 16, train, 18, 21, 0.91 
2016,02,05, 0G2, 16, Cloud9, 06, cobblestone, 14, 13, 0.97 
2016,02,05, 0G2, 16, Cloud9, 13, train, 22, 20, 0.99 
2016,02,05, 0G2, 17, Cloud9, 19, cache, 25, 21, 1.26 
2016,01,31, ex-Titan, 16, NiP, 13, cache, 22, 15, 1.19 
2016,01,31, NiP, 09, ex-Titan, 16, inferno, 20, 17, 1.07 
2016,01,14, ex-Titan, 04, fnatic, 16, dust2, 04, 18, 0.34 
2016,01,14, ex-Titan, 16, fnatic, 14, inferno, 15, 22, 0.71 
2016,01,14, ex-Titan, 10, fnatic, 16, cache, 12, 21, 0.61 
2016,01,14, 00?, 16, ex-Titan, 14, train, 19, 21, 0.89 
2016,01,14, 00?, 16, ex-Titan, 07, dust2, 14, 17, 0.77 
2016,01,11, 00?, 16, Titan, 07, dust2, 15, 19, 0.89 
2016,01,11, Titan, 21, 00?, 17, train, 27, 29, 0.92 
2016,01,11, Titan, 19, 00?, 21, overpass, 24, 33, 0.75 
2015,12,15, Titan, 16, LDLCWhite, 12, cobblestone, 17, 22, 0.76 
2015,12,15, Titan, 02, LDLCWhite, 16, cache, 03, 16, 0.23 
2015,12,15, LDLCWhite, 08, Titan, 16, dust2, 21, 14, 1.29 
2015,12,06, E-frag.net, 07, Titan, 16, cache, 12, 13, 0.82 
2015,12,06, E-frag.net, 10, Titan, 16, dust2, 24, 14, 1.35 
2015,12,03, EnVyUs, 11, Titan, 16, train, 15, 18, 0.78 
2015,12,03, Titan, 08, EnVyUs, 16, cache, 11, 19, 0.63 
2015,12,03, Titan, 07, EnVyUs, 16, cobblestone, 21, 18, 1.24 
2015,12,02, NatusVincere, 16, Titan, 09, dust2, 29, 18, 1.52 
2015,12,02, Titan, 14, NatusVincere, 16, train, 26, 22, 1.15 
2015,11,17, Titan, 03, NiP, 16, mirage, 09, 17, 0.73 
2015,11,17, Titan, 16, dignitas, 13, overpass, 21, 26, 0.91 
2015,11,15, NiP, 16, Titan, 06, train, 09, 18, 0.52 
2015,11,15, Virtus.pro, 16, Titan, 02, train, 09, 18, 0.45 
2015,11,14, HellRaisers, 16, Titan, 03, overpass, 10, 18, 0.64 
2015,11,14, Virtus.pro, 16, Titan, 08, cobblestone, 25, 19, 1.38 
2015,11,12, Titan, 16, HellRaisers, 07, inferno, 18, 15, 1.14 
2015,11,11, HellRaisers, 06, Titan, 16, overpass, 21, 14, 1.38 
2015,11,11, HellRaisers, 11, Titan, 16, dust2, 22, 17, 1.15 
2015,11,11, Virtus.pro, 16, Titan, 13, train, 16, 18, 0.89 
2015,11,11, PENTA, 09, Titan, 16, dust2, 20, 12, 1.21 
2015,11,08, Virtus.pro, 16, Titan, 13, cobblestone, 26, 23, 1.20 
2015,11,08, Titan, 10, Virtus.pro, 16, train, 13, 20, 0.70 
2015,11,07, Luminosity, 14, Titan, 16, inferno, 30, 19, 1.46 
2015,11,07, Luminosity, 16, Titan, 11, cobblestone, 11, 22, 0.58 
2015,11,07, Titan, 16, Luminosity, 11, cache, 21, 16, 1.20 
2015,11,07, Titan, 16, NatusVincere, 12, cobblestone, 23, 22, 1.09 
2015,11,07, NatusVincere, 16, Titan, 07, dust2, 10, 19, 0.56 
2015,11,07, Titan, 16, NatusVincere, 13, train, 22, 22, 0.95 
2015,11,06, Titan, 10, Luminosity, 16, cobblestone, 16, 22, 0.80 
2015,11,06, Luminosity, 16, Titan, 06, cache, 16, 19, 0.93 
2015,10,30, NiP, 16, Titan, 01, dust2, 10, 16, 0.64 
2015,10,30, Titan, 14, NiP, 16, cache, 28, 18, 1.59 
2015,10,29, Virtus.pro, 16, Titan, 07, train, 14, 19, 0.85 
2015,10,28, Titan, 16, NiP, 13, cobblestone, 22, 21, 0.96 
2015,10,25, GreyFace, 10, Titan, 16, overpass, 24, 18, 1.20 
2015,10,25, Titan, 10, GreyFace, 16, train, 13, 22, 0.63 
2015,10,25, Titan, 16, GreyFace, 13, dust2, 26, 21, 1.23 
2015,10,25, Titan, 05, HellRaisers, 16, cache, 06, 19, 0.34 
2015,10,24, NiP, 17, Titan, 19, dust2, 12, 26, 0.57 
2015,10,22, Titan, 16, 0SK, 14, cache, 28, 20, 1.28 
2015,10,21, PENTA, 03, Titan, 16, inferno, 06, 10, 0.68 
2015,10,21, Titan, 11, 0G2, 16, dust2, 19, 17, 1.04 
2015,10,20, Titan, 16, EnVyUs, 12, dust2, 17, 18, 0.94 
2015,10,20, NatusVincere, 16, Titan, 13, train, 16, 25, 0.67 
2015,10,20, Titan, 16, fnatic, 10, train, 23, 14, 1.47 
2015,10,19, TSM, 16, Titan, 05, inferno, 14, 17, 0.85 
2015,10,19, Titan, 12, TSM, 16, dust2, 12, 19, 0.66 
2015,10,15, PENTA, 05, Titan, 16, cobblestone, 11, 08, 1.00 
2015,10,15, Titan, 16, PENTA, 03, dust2, 12, 11, 1.02 
2015,10,15, Titan, 13, TSM, 16, cobblestone, 25, 22, 1.18 
2015,10,14, Titan, 05, TSM, 16, overpass, 15, 16, 0.87 
2015,10,14, Titan, 16, NatusVincere, 13, overpass, 25, 20, 1.29 
2015,10,14, Titan, 15, mousesports, 19, cobblestone, 20, 26, 0.75 
2015,10,14, mousesports, 16, Titan, 12, overpass, 23, 20, 1.06 
2015,10,13, Titan, 08, mousesports, 16, mirage, 13, 19, 0.72 
2015,10,13, Titan, 02, fnatic, 16, overpass, 10, 18, 0.56 
2015,10,13, Titan, 16, mousesports, 10, cache, 17, 16, 1.08 
2015,10,13, Titan, 16, EnVyUs, 11, mirage, 24, 19, 1.26 
2015,10,07, Titan, 13, Property, 16, inferno, 17, 23, 0.78 
2015,10,07, Property, 05, Titan, 16, cobblestone, 17, 15, 1.10 
2015,10,07, Titan, 16, 0G2, 12, train, 24, 20, 1.18 
2015,10,07, 0G2, 13, Titan, 16, dust2, 19, 19, 1.01 
2015,10,06, Titan, 16, NiP, 21, cobblestone, 26, 27, 1.00 
2015,10,06, TSM, 16, Titan, 05, overpass, 09, 20, 0.42 
2015,10,06, fnatic, 13, Titan, 16, train, 21, 23, 0.97 
2015,10,04, E-frag.net, 06, Titan, 16, dust2, 15, 12, 1.07 
2015,10,04, Titan, 19, E-frag.net, 15, overpass, 26, 25, 1.09 
2015,09,30, Titan, 09, HellRaisers, 16, overpass, 16, 19, 0.85 
2015,09,30, dignitas, 16, Titan, 05, cobblestone, 06, 19, 0.32 
2015,09,30, Virtus.pro, 14, Titan, 16, inferno, 18, 21, 0.84 
2015,09,29, Titan, 02, 0G2, 16, train, 07, 17, 0.43 
2015,09,29, Titan, 16, 0SK, 09, cobblestone, 19, 18, 0.98 
2015,09,25, Titan, 16, HellRaisers, 07, cobblestone, 16, 15, 0.97 
2015,09,25, Titan, 16, HellRaisers, 13, dust2, 16, 17, 0.86 
2015,09,25, HellRaisers, 16, Titan, 08, overpass, 15, 22, 0.78 
2015,09,25, Titan, 16, Skyred, 07, dust2, 20, 14, 1.35 
2015,09,25, Titan, 16, Skyred, 08, inferno, 19, 12, 1.24 
2015,09,17, EnVyUs, 16, Titan, 08, mirage, 07, 21, 0.42 
2015,09,16, Titan, 17, TSM, 21, dust2, 21, 27, 0.82 
2015,09,16, EnVyUs, 16, Titan, 07, train, 12, 19, 0.65 
2015,09,15, Titan, 16, FlipSid3, 08, inferno, 20, 17, 1.20 
2015,09,15, FlipSid3, 09, Titan, 16, train, 26, 17, 1.36 
2015,09,15, Titan, 08, fnatic, 16, cobblestone, 13, 21, 0.68 
2015,09,14, Spain, 05, France, 16, inferno, 18, 11, 1.38 
2015,09,14, Ukraine, 10, France, 16, cobblestone, 19, 18, 1.04 
2015,09,11, fnatic, 16, Titan, 13, inferno, 18, 23, 0.79 
2015,09,11, Titan, 05, fnatic, 16, train, 13, 20, 0.67 
2015,09,10, NatusVincere, 10, Titan, 16, cobblestone, 24, 22, 1.03 
2015,09,10, fnatic, 16, Titan, 06, cobblestone, 15, 18, 0.80 
2015,09,09, NatusVincere, 19, Titan, 15, overpass, 27, 23, 1.06 
2015,09,08, Kinguin, 16, Titan, 05, mirage, 12, 18, 0.68 
2015,09,08, Kinguin, 11, Titan, 16, dust2, 14, 19, 0.76 
2015,09,08, Kinguin, 16, Titan, 13, train, 24, 22, 1.03 
2015,09,08, Virtus.pro, 08, Titan, 16, inferno, 15, 16, 0.92 
2015,09,08, Virtus.pro, 10, Titan, 16, train, 18, 20, 0.90 
2015,09,08, Titan, 15, Virtus.pro, 19, overpass, 35, 25, 1.54 
2015,09,07, Titan, 16, mousesports, 09, cobblestone, 26, 14, 1.53 
2015,09,07, mousesports, 03, Titan, 16, overpass, 17, 09, 1.45 
2015,09,03, Titan, 14, mousesports, 16, dust2, 21, 22, 0.90 
2015,09,03, Titan, 16, INFINITY, 08, dust2, 26, 11, 1.93 
2015,09,03, INFINITY, 04, Titan, 16, train, 19, 10, 1.49 
2015,09,02, Titan, 16, dignitas, 06, cobblestone, 27, 13, 1.81 
2015,09,02, dignitas, 15, Titan, 19, train, 24, 24, 1.14 
2015,08,31, Titan, 16, HellRaisers, 14, dust2, 14, 21, 0.67 
2015,08,31, Titan, 16, HellRaisers, 12, overpass, 18, 20, 0.92 
2015,08,31, Titan, 17, mousesports, 21, overpass, 21, 29, 0.82 
2015,08,31, mousesports, 07, Titan, 16, train, 19, 12, 1.31 
2015,08,31, Titan, 09, mousesports, 16, cobblestone, 26, 19, 1.30 
2015,08,30, dignitas, 16, Titan, 12, cobblestone, 25, 19, 1.26 
2015,08,30, Titan, 16, dignitas, 08, mirage, 19, 17, 1.12 
2015,08,30, dignitas, 16, Titan, 09, train, 12, 21, 0.58 
2015,08,21, Renegades, 16, Titan, 09, mirage, 16, 20, 0.81 
2015,08,20, NatusVincere, 19, Titan, 17, overpass, 18, 27, 0.75 
2015,07,26, LGB, 02, Titan, 16, dust2, 22, 11, 1.73 
2015,07,26, eBettle, 25, Titan, 23, train, 39, 40, 0.96 
2015,07,26, Titan, 16, k1ck, 08, train, 20, 16, 1.14 
2015,07,26, Titan, 16, 0G2, 05, cobblestone, 18, 14, 1.10 
2015,07,11, 0SK, 16, Titan, 08, cobblestone, 11, 20, 0.57 
2015,07,11, NatusVincere, 16, Titan, 02, mirage, 06, 17, 0.36 
2015,07,10, Luminosity, 07, Titan, 16, dust2, 13, 13, 0.85 
2015,07,02, Titan, 16, NatusVincere, 10, cobblestone, 16, 14, 1.11 
2015,06,30, NatusVincere, 16, Titan, 03, cobblestone, 05, 18, 0.45 
2015,06,30, TSM, 16, Titan, 03, mirage, 08, 18, 0.43 
2015,06,30, Virtus.pro, 16, Titan, 13, cache, 16, 20, 0.79 
2015,06,30, Titan, 14, EnVyUs, 16, dust2, 25, 18, 1.31 
2015,06,27, dignitas, 16, Titan, 02, cache, 09, 16, 0.54 
2015,06,27, dignitas, 08, Titan, 16, cobblestone, 17, 16, 1.01 
2015,06,27, Titan, 13, dignitas, 16, mirage, 18, 23, 0.87 
2015,06,27, Titan, 16, 0SK, 13, cache, 20, 18, 1.07 
2015,06,27, Titan, 16, 0SK, 05, overpass, 17, 10, 1.32 
2015,06,26, Titan, 07, dignitas, 16, overpass, 13, 19, 0.70 
2015,06,26, Titan, 10, dignitas, 16, mirage, 13, 21, 0.63 
2015,06,24, Titan, 25, NatusVincere, 23, overpass, 22, 40, 0.64 
2015,06,24, Titan, 16, TSM, 14, dust2, 28, 19, 1.35 
2015,06,24, Titan, 06, dignitas, 16, cobblestone, 15, 18, 1.01 
2015,06,23, NiP, 16, Titan, 08, mirage, 13, 23, 0.53 
2015,06,23, fnatic, 16, Titan, 03, inferno, 16, 17, 1.16 
2015,06,22, Titan, 08, NiP, 16, cache, 20, 16, 1.16 
2015,06,22, Virtus.pro, 14, Titan, 16, mirage, 20, 22, 0.91 
2015,06,18, fnatic, 15, Titan, 19, cache, 22, 21, 0.95 
2015,06,18, Titan, 16, NatusVincere, 11, overpass, 16, 18, 0.85 
2015,06,17, Titan, 16, LGB, 12, dust2, 26, 21, 1.19 
2015,06,17, LGB, 11, Titan, 16, overpass, 17, 13, 1.06 
2015,06,17, Titan, 13, mousesports, 16, dust2, 13, 20, 0.67 
2015,06,17, Titan, 16, EnVyUs, 04, cache, 24, 11, 1.86 
2015,06,17, Titan, 16, EnVyUs, 19, dust2, 21, 19, 1.00 
2015,06,15, NatusVincere, 16, Titan, 07, inferno, 15, 20, 0.75 
2015,06,15, Titan, 11, NatusVincere, 16, overpass, 17, 23, 0.78 
2015,06,15, NatusVincere, 11, Titan, 16, cobblestone, 20, 17, 1.05 
2015,06,13, FlipSid3, 11, Titan, 16, cache, 18, 13, 1.13 
2015,06,13, fnatic, 16, Titan, 02, mirage, 10, 16, 0.55 
2015,06,13, Titan, 19, FlipSid3, 16, cobblestone, 21, 23, 0.93 
2015,06,11, fnatic, 07, Titan, 16, cobblestone, 24, 16, 1.37 
2015,06,11, 0G2, 16, Titan, 19, cache, 26, 23, 1.09 
2015,06,11, Titan, 16, 0G2, 03, cobblestone, 17, 11, 1.46 
2015,06,10, HellRaisers, 16, Titan, 10, inferno, 11, 20, 0.68 
2015,06,10, Virtus.pro, 16, Titan, 07, cache, 11, 19, 0.57 
2015,06,09, EnVyUs, 21, Titan, 15, dust2, 16, 25, 0.69 
2015,06,09, Virtus.pro, 16, Titan, 08, mirage, 12, 20, 0.63 
2015,06,09, Titan, 16, Virtus.pro, 13, cobblestone, 25, 23, 1.05 
2015,06,08, fnatic, 16, Titan, 01, train, 06, 16, 0.38 
2015,06,08, Titan, 14, TSM, 16, mirage, 29, 21, 1.34 
2015,06,08, Titan, 16, TSM, 11, dust2, 16, 22, 0.75 
2015,06,03, EnVyUs, 16, Titan, 01, cobblestone, 06, 16, 0.41 
2015,06,03, FlipSid3, 05, Titan, 16, overpass, 22, 12, 1.75 
2015,06,03, PENTA, 11, Titan, 16, cache, 14, 21, 0.74 
2015,06,03, PENTA, 14, Titan, 16, inferno, 24, 20, 1.15 
2015,06,02, Titan, 16, NatusVincere, 19, overpass, 32, 29, 1.20 
