2016,02,24, NiP, 16, NatusVincere, 10, mirage, 09, 18, 0.67 
2016,02,24, NatusVincere, 16, NiP, 13, train, 15, 22, 0.67 
2016,02,17, Virtus.pro, 12, NatusVincere, 16, cobblestone, 28, 18, 1.46 
2016,02,17, NatusVincere, 16, Virtus.pro, 09, dust2, 21, 15, 1.31 
2016,02,11, 0SK, 16, NatusVincere, 12, train, 25, 21, 1.28 
2016,02,11, 0SK, 16, NatusVincere, 07, cobblestone, 17, 21, 0.79 
2016,02,09, Astralis, 14, NatusVincere, 16, overpass, 13, 18, 0.75 
2016,02,09, NatusVincere, 13, Astralis, 16, mirage, 14, 19, 0.72 
2016,01,24, NatusVincere, 19, Luminosity, 16, cobblestone, 21, 23, 0.93 
2016,01,24, Luminosity, 16, NatusVincere, 19, train, 21, 25, 0.85 
2016,01,23, NatusVincere, 16, dignitas, 09, train, 23, 15, 1.33 
2016,01,23, NatusVincere, 16, dignitas, 13, cobblestone, 15, 22, 0.65 
2016,01,22, FaZe, 09, NatusVincere, 16, train, 17, 13, 1.05 
2016,01,22, 0SK, 03, NatusVincere, 16, mirage, 13, 12, 1.18 
2016,01,17, NatusVincere, 07, fnatic, 16, cobblestone, 19, 14, 1.26 
2016,01,17, fnatic, 16, NatusVincere, 03, dust2, 05, 17, 0.37 
2016,01,16, EnVyUs, 05, NatusVincere, 16, train, 18, 10, 1.34 
2016,01,16, NatusVincere, 16, EnVyUs, 12, cobblestone, 18, 20, 0.92 
2016,01,15, 00?, 13, NatusVincere, 16, mirage, 18, 17, 0.98 
2016,01,15, 00?, 16, NatusVincere, 11, overpass, 16, 17, 0.88 
2016,01,15, 00?, 04, NatusVincere, 16, dust2, 16, 08, 1.19 
2016,01,14, 0G2, 14, NatusVincere, 16, train, 22, 18, 1.06 
2016,01,14, 0G2, 17, NatusVincere, 19, dust2, 29, 25, 1.13 
2016,01,13, NatusVincere, 09, Luminosity, 16, mirage, 14, 19, 0.73 
2016,01,13, Luminosity, 16, NatusVincere, 14, train, 13, 20, 0.73 
2016,01,13, NatusVincere, 16, CyberZen, 07, train, 23, 11, 1.51 
2016,01,13, CyberZen, 05, NatusVincere, 16, mirage, 09, 09, 0.88 
2015,12,13, fnatic, 16, NatusVincere, 06, cobblestone, 09, 18, 0.52 
2015,12,13, NatusVincere, 16, fnatic, 14, train, 22, 19, 1.14 
2015,12,13, NatusVincere, 16, fnatic, 06, mirage, 17, 12, 1.17 
2015,12,13, fnatic, 16, NatusVincere, 14, dust2, 18, 16, 0.94 
2015,12,13, NatusVincere, 14, fnatic, 16, inferno, 16, 20, 0.89 
2015,12,13, EnVyUs, 18, NatusVincere, 22, cobblestone, 30, 25, 1.09 
2015,12,13, NatusVincere, 16, EnVyUs, 09, dust2, 24, 15, 1.45 
2015,12,12, NatusVincere, 16, Luminosity, 06, mirage, 18, 14, 1.14 
