2015,11,26, NiP, 04, fnatic, 16, dust2, 09, 18, 0.49 
2015,11,26, NiP, 16, EnVyUs, 08, mirage, 12, 14, 0.83 
2015,11,17, Titan, 03, NiP, 16, mirage, 21, 11, 1.48 
2015,11,17, NiP, 16, Virtus.pro, 13, overpass, 20, 16, 1.06 
2015,11,15, NiP, 16, Titan, 06, train, 24, 11, 1.64 
2015,11,15, NiP, 14, Virtus.pro, 16, cobblestone, 11, 23, 0.52 
2015,11,13, NiP, 16, fnatic, 07, train, 16, 09, 1.18 
2015,11,13, NiP, 16, Virtus.pro, 14, mirage, 17, 18, 0.88 
2015,11,11, NiP, 08, mousesports, 16, mirage, 11, 18, 0.64 
2015,11,10, 0SK, 16, NiP, 12, mirage, 18, 20, 0.81 
2015,11,04, NiP, 16, PENTA, 07, cache, 18, 10, 1.29 
2015,11,04, NiP, 12, HellRaisers, 16, overpass, 15, 19, 0.90 
2015,11,03, EnVyUs, 09, NiP, 16, cobblestone, 25, 15, 1.42 
2015,11,03, dignitas, 04, NiP, 16, train, 07, 11, 0.72 
2015,11,01, NatusVincere, 16, NiP, 06, dust2, 04, 21, 0.19 
2015,11,01, NiP, 03, NatusVincere, 16, train, 12, 18, 0.69 
2015,10,31, TSM, 08, NiP, 16, dust2, 16, 12, 1.09 
2015,10,31, NiP, 16, TSM, 10, train, 20, 20, 1.01 
2015,10,30, NiP, 16, Titan, 01, dust2, 18, 08, 1.59 
2015,10,30, Titan, 14, NiP, 16, cache, 15, 21, 0.76 
2015,10,29, Liquid, 11, NiP, 16, mirage, 25, 16, 1.39 
2015,10,28, Titan, 16, NiP, 13, cobblestone, 20, 20, 1.13 
2015,10,24, NiP, 17, Titan, 19, dust2, 34, 22, 1.41 
2015,10,22, NiP, 11, NatusVincere, 16, overpass, 18, 20, 0.90 
2015,10,22, NiP, 06, NatusVincere, 16, inferno, 11, 18, 0.62 
2015,10,21, NiP, 16, 0G2, 10, cache, 23, 16, 1.48 
2015,10,21, NiP, 16, mousesports, 08, cobblestone, 19, 14, 1.32 
2015,10,20, EnVyUs, 14, NiP, 16, dust2, 19, 20, 0.94 
2015,10,18, NiP, 12, Virtus.pro, 16, inferno, 12, 18, 0.69 
2015,10,17, NiP, 16, PENTA, 04, train, 17, 09, 1.39 
2015,10,17, dignitas, 08, NiP, 16, dust2, 14, 13, 0.93 
2015,10,15, NiP, 16, TSM, 09, inferno, 21, 14, 1.27 
2015,10,15, NiP, 16, TSM, 12, cache, 19, 18, 0.96 
2015,10,15, TSM, 16, NiP, 13, dust2, 18, 20, 0.89 
2015,10,15, NiP, 16, HellRaisers, 04, inferno, 17, 13, 1.26 
2015,10,15, NiP, 16, HellRaisers, 13, overpass, 21, 19, 0.99 
2015,10,14, NiP, 10, EnVyUs, 16, mirage, 15, 19, 0.79 
2015,10,14, TSM, 13, NiP, 16, dust2, 28, 19, 1.29 
2015,10,13, GreyFace, 14, NiP, 16, dust2, 17, 21, 0.83 
2015,10,13, GreyFace, 12, NiP, 16, cache, 20, 19, 1.02 
2015,10,11, Poland, 16, Sweden, 10, dust2, 20, 19, 1.11 
2015,10,11, Sweden, 07, Poland, 16, train, 13, 21, 0.64 
2015,10,11, Poland, 14, Sweden, 16, cobblestone, 23, 23, 1.12 
2015,10,10, Sweden, 16, Canada, 11, cobblestone, 37, 16, 2.08 
2015,10,10, Canada, 17, Sweden, 19, inferno, 22, 27, 0.91 
2015,10,08, Indonesia, 04, Sweden, 16, dust2, 21, 09, 1.59 
2015,10,08, Sweden, 16, Indonesia, 02, mirage, 17, 06, 1.62 
2015,10,08, Germany, 16, Sweden, 13, cache, 15, 22, 0.79 
2015,10,08, Sweden, 16, Serbia, 07, inferno, 15, 12, 1.04 
2015,10,06, NiP, 02, HellRaisers, 16, cobblestone, 12, 17, 0.96 
2015,10,06, Titan, 16, NiP, 21, cobblestone, 22, 24, 0.97 
2015,10,06, NiP, 10, TSM, 16, cobblestone, 23, 19, 1.20 
2015,10,06, NiP, 14, fnatic, 16, cobblestone, 24, 24, 0.93 
2015,10,01, NiP, 11, HellRaisers, 16, cache, 17, 22, 0.81 
2015,09,30, Sweden, 16, Kazakhstan, 06, inferno, 23, 12, 1.56 
2015,09,30, Sweden, 16, Kazakhstan, 04, dust2, 15, 07, 1.30 
2015,09,29, Sweden, 05, Belgium, 16, cobblestone, 12, 18, 0.84 
2015,09,29, HellRaisers, 02, NiP, 16, dust2, 16, 08, 1.36 
2015,09,29, NiP, 12, TSM, 16, dust2, 19, 19, 0.91 
2015,09,29, 0G2, 16, NiP, 13, train, 21, 19, 1.07 
2015,09,28, Sweden, 16, Iceland, 12, train, 23, 21, 1.01 
2015,09,28, Norway, 14, Sweden, 16, dust2, 29, 20, 1.33 
2015,09,26, fnatic, 16, NiP, 07, train, 13, 16, 0.87 
2015,09,26, NiP, 19, fnatic, 17, inferno, 21, 26, 0.84 
2015,09,26, NiP, 13, fnatic, 16, mirage, 15, 20, 0.79 
