2016,02,13, FlipSid3, 16, HellRaisers, 13, overpass, 18, 19, 0.96 
2016,02,13, HellRaisers, 06, FlipSid3, 16, cobblestone, 18, 13, 1.10 
2016,02,11, CSGL, 10, FlipSid3, 16, cobblestone, 20, 18, 1.07 
2016,02,11, CSGL, 11, FlipSid3, 16, train, 14, 18, 0.77 
2016,02,11, FlipSid3, 14, CSGL, 16, overpass, 22, 21, 0.99 
2016,02,04, CLG, 16, FlipSid3, 04, overpass, 15, 17, 0.86 
2016,02,04, FlipSid3, 14, CLG, 16, inferno, 20, 21, 0.98 
2016,02,04, dignitas, 16, FlipSid3, 12, cobblestone, 14, 22, 0.65 
2016,02,04, dignitas, 16, FlipSid3, 13, inferno, 21, 21, 1.05 
2016,01,20, FlipSid3, 16, PENTA, 09, mirage, 15, 14, 1.00 
2016,01,20, PENTA, 07, FlipSid3, 16, cobblestone, 16, 13, 1.11 
2016,01,20, FlipSid3, 16, Planetkey, 03, mirage, 15, 07, 1.27 
2016,01,20, Planetkey, 09, FlipSid3, 16, train, 12, 17, 0.78 
2016,01,19, 0G2, 04, FlipSid3, 16, mirage, 20, 09, 1.57 
2016,01,19, FlipSid3, 21, 0G2, 16, train, 19, 22, 0.81 
2016,01,18, FlipSid3, 13, PANTERS, 16, overpass, 10, 24, 0.49 
2016,01,18, PANTERS, 09, FlipSid3, 16, mirage, 13, 14, 0.86 
2016,01,18, FlipSid3, 16, E-frag.net, 09, mirage, 25, 11, 1.50 
2016,01,18, E-frag.net, 09, FlipSid3, 16, overpass, 15, 15, 0.97 
2016,01,13, Vexed, 16, FlipSid3, 11, mirage, 15, 18, 0.97 
2016,01,13, FlipSid3, 07, Vexed, 16, overpass, 19, 17, 1.13 
2016,01,10, FlipSid3, 16, 0SK, 21, train, 24, 30, 0.77 
2016,01,10, 0SK, 18, FlipSid3, 21, mirage, 30, 27, 1.07 
2016,01,10, 0SK, 16, FlipSid3, 03, overpass, 06, 18, 0.34 
2016,01,10, ENCE, 08, FlipSid3, 16, inferno, 20, 12, 1.27 
2016,01,10, FlipSid3, 16, ENCE, 14, mirage, 31, 16, 1.61 
2016,01,10, FlipSid3, 11, ENCE, 16, train, 19, 17, 1.08 
2016,01,10, Deathtrap, 04, FlipSid3, 16, cache, 12, 12, 0.94 
2016,01,10, Deathtrap, 17, FlipSid3, 21, train, 24, 27, 0.99 
2015,12,16, Rebels, 05, FlipSid3, 16, cache, 20, 11, 1.46 
2015,12,16, Rebels, 10, FlipSid3, 16, overpass, 28, 15, 1.58 
2015,12,16, Rebels, 16, FlipSid3, 11, cobblestone, 19, 19, 0.98 
2015,12,08, FlipSid3, 16, Rebels, 04, overpass, 22, 07, 1.74 
