2016,04,21, Cloud9, 16, EchoFox, 08, train, 17, 11, 1.15 
2016,04,15, Cloud9, 16, ZePugGodz, 02, inferno, 25, 06, 2.38 
2016,04,15, ZePugGodz, 10, Cloud9, 16, overpass, 23, 17, 1.29 
2016,04,15, ZePugGodz, 16, Cloud9, 09, cache, 17, 19, 0.90 
2016,04,14, Cloud9, 16, Tectonic, 11, cobblestone, 35, 15, 1.94 
2016,04,14, Tectonic, 04, Cloud9, 16, cache, 23, 10, 1.77 
2016,04,08, Cloud9, 05, Liquid, 16, cache, 08, 18, 0.52 
2016,04,08, Liquid, 16, Cloud9, 08, dust2, 13, 18, 0.83 
2016,03,30, 0G2, 16, Cloud9, 03, dust2, 10, 18, 0.57 
2016,03,29, Cloud9, 09, NatusVincere, 16, train, 14, 19, 0.73 
2016,03,24, Winterfox, 03, Cloud9, 16, train, 15, 10, 1.38 
2016,03,24, Cloud9, 16, Winterfox, 07, dust2, 15, 15, 1.08 
2016,03,22, Cloud9, 16, NRG, 05, cobblestone, 13, 08, 1.24 
2016,03,22, Cloud9, 16, NRG, 12, train, 14, 17, 0.80 
2016,03,21, Liquid, 05, Cloud9, 16, cache, 20, 06, 1.63 
2016,03,21, Liquid, 07, Cloud9, 16, train, 23, 14, 1.36 
2016,03,21, Cloud9, 17, Liquid, 19, dust2, 26, 26, 0.99 
2016,03,20, Selfless, 03, Cloud9, 16, cache, 22, 05, 1.90 
2016,03,20, Cloud9, 16, Selfless, 05, dust2, 11, 11, 0.83 
2016,03,20, Cloud9, 19, OpTic, 17, mirage, 29, 23, 1.18 
2016,03,20, Cloud9, 16, OpTic, 03, cache, 17, 09, 1.45 
2016,03,18, Luminosity, 16, Cloud9, 07, cobblestone, 14, 17, 0.82 
2016,03,18, Luminosity, 13, Cloud9, 16, overpass, 21, 19, 0.99 
2016,03,17, Renegades, 08, Cloud9, 16, dust2, 17, 13, 1.11 
2016,03,17, Renegades, 16, Cloud9, 19, train, 25, 28, 0.93 
2016,03,14, Cloud9, 04, Selfless, 16, cache, 07, 18, 0.43 
2016,03,14, Selfless, 10, Cloud9, 16, train, 12, 17, 0.76 
2016,03,13, Cloud9, 16, compLexity, 02, cache, 20, 05, 2.00 
2016,03,13, compLexity, 15, Cloud9, 19, overpass, 22, 26, 0.92 
2016,03,10, OpTic, 16, Cloud9, 07, cobblestone, 12, 18, 0.64 
2016,03,10, Cloud9, 13, OpTic, 16, cache, 12, 22, 0.64 
2016,02,28, Renegades, 16, Cloud9, 19, cache, 30, 23, 1.23 
2016,02,28, Cloud9, 16, Renegades, 14, mirage, 22, 20, 1.02 
2016,02,27, Cloud9, 16, dignitas, 13, cache, 21, 21, 0.95 
2016,02,27, Gambit, 16, Cloud9, 09, cache, 15, 20, 0.76 
2016,02,22, CLG, 16, Cloud9, 03, cobblestone, 11, 17, 0.69 
2016,02,22, Cloud9, 12, CLG, 16, cache, 10, 23, 0.53 
2016,02,22, Cloud9, 08, TempoStorm, 16, dust2, 09, 17, 0.62 
2016,02,22, TempoStorm, 10, Cloud9, 16, train, 18, 16, 1.07 
2016,02,22, TempoStorm, 16, Cloud9, 08, inferno, 03, 20, 0.24 
2016,02,21, NRG, 14, Cloud9, 16, dust2, 21, 19, 1.02 
2016,02,21, NRG, 09, Cloud9, 16, train, 18, 13, 1.09 
2016,02,21, NRG, 16, Cloud9, 09, inferno, 11, 22, 0.54 
2016,02,21, Cloud9, 16, Random5, 01, overpass, 12, 07, 1.21 
2016,02,21, Random5, 12, Cloud9, 16, cache, 22, 16, 1.21 
2016,02,15, Cloud9, 17, TempoStorm, 19, cache, 19, 24, 0.81 
2016,02,15, Cloud9, 14, TempoStorm, 16, mirage, 17, 22, 0.77 
2016,02,15, OpTic, 10, Cloud9, 16, train, 15, 14, 0.97 
2016,02,15, OpTic, 11, Cloud9, 16, dust2, 18, 17, 0.99 
2016,02,15, Cloud9, 04, OpTic, 16, inferno, 05, 14, 0.48 
2016,02,14, Cloud9, 16, DayDreamers, 11, cache, 15, 18, 0.87 
2016,02,14, DayDreamers, 06, Cloud9, 16, inferno, 19, 12, 1.30 
2016,02,12, CLG, 05, Cloud9, 16, overpass, 13, 10, 1.00 
2016,02,12, CLG, 12, Cloud9, 16, cobblestone, 21, 19, 1.03 
2016,02,06, EnVyUs, 16, Cloud9, 12, overpass, 15, 24, 0.61 
2016,02,06, Cloud9, 13, EnVyUs, 16, mirage, 18, 22, 0.94 
2016,02,05, Cloud9, 11, 0G2, 16, train, 14, 19, 0.76 
2016,02,05, 0G2, 16, Cloud9, 03, cache, 09, 16, 0.65 
2016,02,05, Method, 11, Cloud9, 16, dust2, 22, 20, 1.13 
2016,02,05, Cloud9, 16, Method, 14, cache, 20, 21, 0.92 
2016,02,05, 0G2, 16, Cloud9, 06, cobblestone, 13, 17, 0.81 
2016,02,05, 0G2, 16, Cloud9, 13, train, 20, 23, 0.88 
2016,02,05, 0G2, 17, Cloud9, 19, cache, 27, 27, 0.96 
2015,12,16, Cloud9, 08, Enemy, 16, inferno, 15, 18, 0.85 
2015,12,16, Enemy, 16, Cloud9, 10, cobblestone, 19, 18, 1.02 
2015,12,10, Empath, 07, Cloud9, 16, cache, 16, 16, 0.93 
2015,12,10, Cloud9, 16, Empath, 02, cobblestone, 13, 13, 0.99 
